Active,Bikora,
Address,Aderesi,
Admin,Umuyobozi,
All,Byose,
Amount,Umubare,
Approved,Byemejwe,
Assignment,Umukoro,
Cancelled,Yahagaritswe,
Category,Icyiciro,
City,Umujyi,
Client ID,Indangamuntu y&#39;abakiriya,
Client Secret,Ibanga ry&#39;abakiriya,
Closed,Gufunga,
Code,Kode,
Color,Ibara,
Comments,Ibitekerezo,
Company,Isosiyete,
Company Name,Izina ryisosiyete,
Complete,Byuzuye,
Completed,Byarangiye,
Condition,Imiterere,
Confirmation Email Template,Inyandiko yerekana imeri,
Content,Ibirimo,
Country,Igihugu,
Currency,Ifaranga,
Custom HTML,Koresha HTML,
Dashboard,Ikibaho,
Date,Itariki,
Day,Umunsi,
Description,Ibisobanuro,
Disable Signup,Hagarika Kwiyandikisha,
Disabled,Abamugaye,
Document,Inyandiko,
Duration,Ikiringo,
Email Sent,Imeri yoherejwe,
Enable,Gushoboza,
Enabled,Gushoboza,
End Date,Itariki yo kurangiriraho,
Event,Icyabaye,
Fail,Kunanirwa,
Failed,Kunanirwa,
Featured,Ikiranga,
Feedback,Igitekerezo,
Field To Check,Umwanya Kugenzura,
File Type,Ubwoko bwa dosiye,
Friday,Ku wa gatanu,
From,Kuva,
From Date,Kuva Itariki,
Full Name,Izina ryuzuye,
Function,Imikorere,
Host,Umucumbitsi,
Icon,Agashusho,
Image,Ishusho,
In Progress,Iterambere,
Inactive,Kudakora,
Index,Ironderero,
JavaScript,JavaScript,
Job,Akazi,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Label,Ikirango,
Language,Ururimi,
Location,Aho biherereye,
Medium,Hagati,
Meta Description,Meta Ibisobanuro,
Meta Image,Meta Ishusho,
Milestone,Intambwe,
Monday,Ku wa mbere,
New,Gishya,
Note,Icyitonderwa,
Notifications,Kumenyesha,
OAuth Client ID,Indangamuntu y&#39;abakiriya,
Offline,Kurubuga,
Online,Kumurongo,
Open,Fungura,
Option 1,Icya 1,
Option 2,Icya 2,
Option 3,Icya 3,
Output,Ibisohoka,
PDF,PDF,
Password,Ijambobanga,
Pending,Bitegereje,
Percentage,Ijanisha,
Private,Wenyine,
Progress,Iterambere,
Public,Rubanda,
Published,Byatangajwe,
Published On,Yatangajwe Kuri,
Rating,Urutonde,
Reference DocName,Reba izina,
Reference DocType,Reba Inyandiko,
Reference Document Type,Ubwoko bw&#39;inyandiko,
Rejected,Yanze,
Reload,Ongera usubiremo,
Remote,Remote,
Restricted,Birabujijwe,
Review,Isubiramo,
Role,Uruhare,
Route,Inzira,
Saturday,Ku wa gatandatu,
Session Defaults,Isomo risanzwe,
Sidebar Items,Ibikoresho byo ku ruhande,
Source,Inkomoko,
Start Date,Itariki yo gutangiriraho,
Start Time,Igihe cyo Gutangira,
Status,Imiterere,
Summary,Incamake,
Sunday,Ku cyumweru,
System Manager,Umuyobozi wa sisitemu,
Tags,Etiquetas,
Template,Inyandikorugero,
Text,Inyandiko,
Thursday,Ku wa kane,
Time,Igihe,
Title,Umutwe,
To,Kuri,
To Date,Itariki,
Tuesday,Ku wa kabiri,
Type,Andika,
URL,URL,
User,Umukoresha,
User Field,Umukoresha Umwanya,
User Image,Ishusho y&#39;abakoresha,
Username,Izina ryukoresha,
Value,Agaciro,
Value Change,Guhindura Agaciro,
View Website,Reba Urubuga,
Web Page,Urubuga,
Wednesday,Ku wa gatatu,
