Active,Aktif,
Address,Alamat,
Admin,Admin,
All,Semua,
Amount,Jumlah,
Approved,Diluluskan,
Assignment,tugasan,
Cancelled,Dibatalkan,
Category,Kategori,
City,City,
Client ID,ID pelanggan,
Client Secret,Secret pelanggan,
Closed,Ditutup,
Code,Kod,
Color,Warna,
Comments,Comments,
Company,Syarikat,
Company Name,Nama Syarikat,
Complete,Lengkap,
Completed,Siap,
Condition,Keadaan,
Confirmation Email Template,Templat E-mel Pengesahan,
Content,Kandungan,
Country,Negara,
Currency,Mata Wang,
Custom HTML,Custom HTML,
Dashboard,Papan Pemuka,
Date,Tarikh,
Day,hari,
Description,Penerangan,
Disable Signup,Melumpuhkan Signup,
Disabled,Orang kurang upaya,
Document,Dokumen,
Duration,Tempoh,
Email Sent,E-mel dihantar,
Enable,membolehkan,
Enabled,Membolehkan,
End Date,Tarikh akhir,
Event,Peristiwa,
Fail,Gagal,
Failed,Gagal,
Featured,Yang diketengahkan,
Feedback,Maklumbalas,
Field To Check,Field To Check,
File Type,Jenis fail,
Friday,Jumaat,
From,Dari,
From Date,Dari Tarikh,
Full Name,Nama Penuh,
Function,Fungsi,
Host,Host,
Icon,Ikon,
Image,Image,
In Progress,Dalam Kemajuan,
Inactive,Tidak aktif,
Index,Indeks,
JavaScript,JavaScript,
Job,Kerja,
Keyboard Shortcuts,Pintasan papan kekunci,
Label,Label,
Language,Bahasa,
Location,Lokasi,
Medium,Sederhana,
Meta Description,Penerangan Meta,
Meta Image,Imej Meta,
Milestone,Kejayaan,
Monday,Isnin,
New,Baru,
Note,Nota,
Notifications,Pemberitahuan,
OAuth Client ID,ID Klien OAuth,
Offline,offline,
Online,talian,
Open,Terbuka,
Option 1,Pilihan 1,
Option 2,Pilihan 2,
Option 3,Pilihan 3,
Output,Pengeluaran,
PDF,PDF,
Password,Kata laluan,
Pending,Sementara menunggu,
Percentage,peratus,
Private,Persendirian,
Progress,kemajuan,
Public,Awam,
Published,Diterbitkan,
Published On,Published On,
Rating,Rating,
Reference DocName,Dokumen Rujukan,
Reference DocType,Jenis Dokumen Rujukan,
Reference Document Type,Rujukan Jenis Dokumen,
Rejected,Ditolak,
Reload,Muat semula,
Remote,Remote,
Restricted,Terhad,
Review,Tinjauan,
Role,Peranan,
Route,Route,
Saturday,Sabtu,
Session Defaults,Default Sesi,
Sidebar Items,Item Sidebar,
Source,Sumber,
Start Date,Tarikh Mula,
Start Time,Waktu Mula,
Status,Status,
Summary,Ringkasan,
Sunday,Ahad,
System Manager,Pengurus Sistem,
Tags,Tags,
Template,Template,
Text,Teks,
Thursday,Khamis,
Time,Masa,
Title,Tajuk,
To,Untuk,
To Date,Tarikh,
Tuesday,Selasa,
Type,Jenis,
URL,URL,
User,Pengguna,
User Field,Medan Pengguna,
User Image,Imej pengguna,
Username,Nama pengguna,
Value,Nilai,
Value Change,Nilai Perubahan,
View Website,Lihat Laman Web,
Web Page,Web Page,
Wednesday,Rabu,
