Active,செயலில்,
Address,முகவரி,
Admin,நிர்வாகம்,
All,எல்லாம்,
Amount,தொகை,
Approved,ஏற்பளிக்கப்பட்ட,
Assignment,மதிப்பளித்தல்,
Cancelled,ரத்து செய்யப்பட்டது,
Category,பகுப்பு,
City,நகரம்,
Client ID,வாடிக்கையாளர் ஐடி,
Client Secret,வாடிக்கையாளர் இரகசியம்,
Closed,மூடப்பட்ட,
Code,குறியீடு,
Color,நிறம்,
Comments,கருத்துகள்,
Company,நிறுவனம்,
Company Name,நிறுவனத்தின் பெயர்,
Complete,முழுமையான,
Completed,நிறைவு,
Condition,நிபந்தனை,
Confirmation Email Template,உறுதிப்படுத்தல் மின்னஞ்சல் வார்ப்புரு,
Content,உள்ளடக்கம்,
Country,நாடு,
Currency,நாணய,
Custom HTML,விருப்ப HTML,
Dashboard,டாஷ்போர்டு,
Date,தேதி,
Day,தினம்,
Description,விளக்கம்,
Disable Signup,பதிவுசெய்தல் முடக்கு,
Disabled,முடக்கப்பட்டது,
Document,ஆவணம்,
Duration,காலம்,
Email Sent,மின்னஞ்சல் அனுப்பப்பட்டது,
Enable,இயக்கு,
Enabled,இயலுமைப்படுத்த,
End Date,இறுதி நாள்,
Event,சம்பவம்,
Fail,தோல்வி,
Failed,தோல்வி,
Featured,சிறப்பு,
Feedback,கருத்து,
Field To Check,சரிபார்க்க புலம்,
File Type,கோப்பு வகை,
Friday,வெள்ளி,
From,இருந்து,
From Date,தேதி,
Full Name,முழு பெயர்,
Function,செயல்பாடு,
Host,தொகுப்பாளர்,
Icon,ஐகான்,
Image,படம்,
In Progress,முன்னேற்றம்,
Inactive,செயல்படா,
Index,குறியீட்டெண்,
JavaScript,ஜாவா ஸ்கிரிப்ட்,
Job,வேலை,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Label,சிட்டை,
Language,மொழி,
Location,இடம்,
Medium,ஊடகம்,
Meta Description,மெட்டா விளக்கம்,
Meta Image,மெட்டா படம்,
Milestone,மைல் கல்,
Monday,திங்கட்கிழமை,
New,புதியது,
Note,குறிப்பு,
Notifications,அறிவிப்புகள்,
OAuth Client ID,OAuth கிளையண்ட் ஐடி,
Offline,ஆஃப்லைன்,
Online,ஆன்லைன்,
Open,திறந்த,
Option 1,விருப்பம் 1,
Option 2,விருப்பம் 2,
Option 3,விருப்பம் 3,
Output,வெளியீடு,
PDF,எம்,
Password,கடவுச்சொல்,
Pending,முடிவுபெறாத,
Percentage,சதவிதம்,
Private,தனிப்பட்ட,
Progress,முன்னேற்றம்,
Public,பொது,
Published,வெளியிடப்பட்ட,
Published On,ம் தேதி வெளியிடப்பட்ட,
Rating,மதிப்பீடு,
Reference DocName,குறிப்பு DocName,
Reference DocType,குறிப்பு டாக் டைப்,
Reference Document Type,குறிப்பு ஆவண வகை,
Rejected,நிராகரிக்கப்பட்டது,
Reload,Reload,
Remote,தொலை,
Restricted,வரையறுக்கப்பட்ட,
Review,விமர்சனம்,
Role,பங்கு,
Route,பாதை,
Saturday,சனிக்கிழமை,
Session Defaults,அமர்வு இயல்புநிலைகள்,
Sidebar Items,பக்கப்பட்டி பொருட்கள்,
Source,மூல,
Start Date,தொடக்க தேதி,
Start Time,தொடக்க நேரம்,
Status,அந்தஸ்து,
Summary,சுருக்கம்,
Sunday,ஞாயிற்றுக்கிழமை,
System Manager,கணினி மேலாளர்,
Tags,குறிச்சொற்களை,
Template,டெம்ப்ளேட்,
Text,உரை,
Thursday,வியாழக்கிழமை,
Time,நேரம்,
Title,தலைப்பு,
To,செய்ய,
To Date,தேதி,
Tuesday,செவ்வாய்க்கிழமை,
Type,மாதிரி,
URL,URL ஐ,
User,பயனர்,
User Field,பயனர் புலம்,
User Image,பயனர் படம்,
Username,பயனர் பெயர்,
Value,மதிப்பு,
Value Change,மதிப்பு மாற்றம்,
View Website,இணையத்தளம் பார்வையிட,
Web Page,வலை பக்கம்,
Wednesday,புதன்கிழமை,
