Active,Aktiv,
Address,Adresë,
Admin,admin,
All,ALL,
Amount,Sasi,
Approved,I miratuar,
Assignment,detyrë,
Cancelled,ANULOHET,
Category,Kategori,
City,Qytet,
Client ID,ID klienti,
Client Secret,klienti Secret,
Closed,Mbyllur,
Code,Kod,
Color,Ngjyrë,
Comments,Komente,
Company,Kompani,
Company Name,Emri i kompanisë,
Complete,I plotë,
Completed,I përfunduar,
Condition,Kusht,
Confirmation Email Template,Modeli i emailit të konfirmimit,
Content,I kënaqur,
Country,Vend,
Currency,Monedhë,
Custom HTML,Custom HTML,
Dashboard,baltëpritëse,
Date,Data,
Day,ditë,
Description,Përshkrim,
Disable Signup,Disable Regjistrohu,
Disabled,I paaftë,
Document,Dokument,
Duration,kohëzgjatje,
Email Sent,Email dërguar,
Enable,mundësoj,
Enabled,Aktivizuar,
End Date,End Date,
Event,Ngjarje,
Fail,dështoj,
Failed,I dështuar,
Featured,Të veçuara,
Feedback,Reagim,
Field To Check,Fusha për të kontrolluar,
File Type,Lloji i skedarit,
Friday,E premte,
From,Nga,
From Date,Nga Data,
Full Name,Emri i plotë,
Function,Funksioni,
Host,Mikpritës,
Icon,ikonë,
Image,imazh,
In Progress,Në progres,
Inactive,joaktiv,
Index,Indeks,
JavaScript,JavaScript,
Job,punë,
Keyboard Shortcuts,Shkurtoret e tastierës,
Label,Etiketë,
Language,Gjuhë,
Location,Vend,
Medium,Medium,
Meta Description,Përshkrimi Meta,
Meta Image,Imazhi Meta,
Milestone,moment historik,
Monday,E hënë,
New,I ri,
Note,Shënim,
Notifications,Njoftime,
OAuth Client ID,ID e Klientit OAuth,
Offline,në linjë,
Online,online,
Open,hapur,
Option 1,Opsioni 1,
Option 2,Opsioni 2,
Option 3,Opsioni 3,
Output,prodhim,
PDF,PDF,
Password,Fjalëkalim,
Pending,Në pritje të,
Percentage,përqindje,
Private,Privat,
Progress,progres,
Public,Publik,
Published,Publikuar,
Published On,Publikuar On,
Rating,vlerësim,
Reference DocName,Referenca DocName,
Reference DocType,Doktipi i referencës,
Reference Document Type,Referenca Document Type,
Rejected,Refuzuar,
Reload,Rifresko,
Remote,i largët,
Restricted,E kufizuar,
Review,rishikim,
Role,Rol,
Route,rrugë,
Saturday,E shtunë,
Session Defaults,Default Seanca,
Sidebar Items,Items Sidebar,
Source,Burim,
Start Date,Data e Fillimit,
Start Time,Koha e fillimit,
Status,Gjendje,
Summary,përmbledhje,
Sunday,E diel,
System Manager,Sistemi Menaxher,
Tags,Tags,
Template,Shabllon,
Text,Tekst,
Thursday,E enjte,
Time,kohë,
Title,titull,
To,në,
To Date,Deri më sot,
Tuesday,E martë,
Type,Lloj,
URL,URL,
User,përdorues,
User Field,Fusha e përdoruesit,
User Image,User Image,
Username,Emri i përdoruesit,
Value,vlerë,
Value Change,Vlera Ndryshimi,
View Website,Shikoni faqen e internetit,
Web Page,Faqe interneti,
Wednesday,E mërkurë,
