Active,សកម្ម,
Address,អាសយដ្ឋាន,
Admin,អ្នកគ្រប់គ្រង,
All,ទាំងអស់,
Amount,ចំនួនទឹកប្រាក់,
Approved,បានអនុម័ត,
Assignment,ការចាត់តាំង,
Cancelled,បានកាត់បន្ថយ,
Category,ប្រភេទ,
City,ទីក្រុង,
Client ID,លេខសម្គាល់អតិថិជន,
Client Secret,អតិថិជនសម្ងាត់,
Closed,បានបិទ,
Code,លេខកូដ,
Color,ពណ៌,
Comments,យោបល់,
Company,ក្រុមហ៊ុន,
Company Name,ឈ្មោះក្រុមហ៊ុន,
Complete,ពេញលេញ,
Completed,បានបញ្ចប់,
Condition,លក្ខខណ្ឌ,
Confirmation Email Template,គំរូអ៊ីមែលបញ្ជាក់,
Content,មាតិការ,
Country,ប្រទេស,
Currency,រូបិយប័ណ្ណ,
Custom HTML,HTML ផ្ទាល់ខ្លួន,
Dashboard,ផ្ទាំងគ្រប់គ្រង,
Date,កាលបរិច្ឆេទ,
Day,ថ្ងៃ,
Description,ការពិពណ៌នាសង្ខេប,
Disable Signup,បិទការចុះឈ្មោះ,
Disabled,ជនពិការ,
Document,ឯកសារជា,
Duration,រយៈពេល,
Email Sent,អ៊ីម៉ែល,
Enable,អនុញ្ញាត,
Enabled,បានបើក,
End Date,កាលបរិច្ឆេទបញ្ចប់,
Event,ព្រឹត្តការណ៍,
Fail,បរាជ័យ,
Failed,បានបរាជ័យ,
Featured,លក្ខណៈពិសេស,
Feedback,មតិអ្នក,
Field To Check,វាលដើម្បីពិនិត្យ។,
File Type,ប្រភេទឯកសារ,
Friday,ថ្ងៃសុក្រ,
From,ចាប់ពី,
From Date,ពីកាលបរិច្ឆេទ,
Full Name,ឈ្មោះពេញ,
Function,មុខងារ,
Host,ម៉ាស៊ីន,
Icon,រូបតំណាង,
Image,រូបភាព,
In Progress,កំពុងដំណើរការ,
Inactive,អសកម្ម,
Index,សន្ទស្សន៍,
JavaScript,javascript,
Job,ការងារ។,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Label,ស្លាក,
Language,ភាសា,
Location,ទីតាំង,
Medium,មធ្យម,
Meta Description,ការពិពណ៌នាមេតា,
Meta Image,រូបភាពមេតា,
Milestone,ដុំថ្ម។,
Monday,កាលពីថ្ងៃចន្ទ,
New,ថ្មី,
Note,ចំណាំ,
Notifications,ការជូនដំណឹង,
OAuth Client ID,លេខសម្គាល់អតិថិជន OAuth ។,
Offline,ក្រៅបណ្តាញ,
Online,លើបណ្តាញ,
Open,បើកទូលាយ,
Option 1,ជម្រើសទី 1,
Option 2,ជម្រើសទី 2,
Option 3,ជម្រើសទី 3,
Output,ទិន្នផល,
PDF,ជា PDF,
Password,ពាក្យសម្ងាត់,
Pending,ឡុងេពល,
Percentage,ចំនួនភាគរយ,
Private,ឯកជន,
Progress,ការរីកចំរើន,
Public,សាធារណៈ,
Published,បោះពុម្ពផ្សាយ,
Published On,បានចេញផ្សាយនៅថ្ងៃទី,
Rating,ការផ្តល់ចំណាត់ថ្នាក់,
Reference DocName,យោង DocName,
Reference DocType,ឯកសារយោងប្រភេទឯកសារ,
Reference Document Type,សេចក្តីយោងប្រភេទឯកសារ,
Rejected,ច្រានចោល,
Reload,ផ្ទុកឡើងវិញ,
Remote,ពីចម្ងាយ,
Restricted,បានដាក់កម្រិត,
Review,ពិនិត្យឡើងវិញ។,
Role,តួនាទីរបស់,
Route,ផ្លូវ,
Saturday,ថ្ងៃសៅរ៍,
Session Defaults,លំនាំដើមវេន។,
Sidebar Items,ធាតុរបារចំហៀង,
Source,ប្រភព,
Start Date,ថ្ងៃចាប់ផ្តើម,
Start Time,ពេលវេលាចាប់ផ្ដើម,
Status,ស្ថានភាព,
Summary,សង្ខេប,
Sunday,កាលពីថ្ងៃអាទិត្យ,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Tags,ស្លាក,
Template,ទំព័រគំរូ,
Text,អត្ថបទ,
Thursday,ថ្ងៃព្រហស្បតិ៍,
Time,ពេលវេលា,
Title,ចំណងជើង,
To,ទៅ,
To Date,ដើម្បីកាលបរិច្ឆេទ,
Tuesday,កាលពីថ្ងៃអង្គារ,
Type,ប្រភេទ,
URL,URL ដែល,
User,អ្នកប្រើ,
User Field,វាលអ្នកប្រើ។,
User Image,រូបភាពរបស់អ្នកប្រើ,
Username,ឈ្មោះអ្នកប្រើ,
Value,តម្លៃ,
Value Change,តម្លៃរបស់ការផ្លាស់ប្តូរ,
View Website,មើលគេហទំព័រ,
Web Page,ទំព័របណ្ដាញ,
Wednesday,ថ្ងៃពុធ,
