Active,פעיל,
Address,כתובת,
Admin,מנהל,
All,כל,
Amount,הסכום,
Approved,אושר,
Assignment,מְשִׁימָה,
Cancelled,בוטל,
Category,קָטֵגוֹרִיָה,
City,עיר,
Client ID,זיהוי לקוח,
Client Secret,סוד הלקוח,
Closed,סגור,
Code,קוד,
Color,צבע,
Comments,תגובות,
Company,חברה,
Company Name,שם חברה,
Complete,לְהַשְׁלִים,
Completed,הושלם,
Condition,מצב,
Confirmation Email Template,תבנית אימייל לאישור,
Content,תוכן,
Country,מדינה,
Currency,מטבע,
Custom HTML,המותאם אישית HTML,
Dashboard,לוּחַ מַחווָנִים,
Date,תאריך,
Day,יְוֹם,
Description,תיאור,
Disable Signup,בטל הרשמה,
Disabled,נכים,
Document,מסמך,
Duration,מֶשֶׁך,
Email Sent,"דוא""ל שנשלח",
Enable,אפשר,
Enabled,מופעל,
End Date,תאריך סיום,
Event,אירוע,
Fail,לְהִכָּשֵׁל,
Failed,נכשל,
Featured,מומלצים,
Feedback,משוב,
Field To Check,שדה לבדיקה,
File Type,סוג קובץ,
Friday,יום שישי,
From,מ,
From Date,מתאריך,
Full Name,שם מלא,
Function,פוּנקצִיָה,
Host,מנחה,
Icon,אייקון,
Image,תמונה,
In Progress,בתהליך,
Inactive,לֹא פָּעִיל,
Index,מדד,
JavaScript,Javascript,
Job,עבודה,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Label,תווית,
Language,שפה,
Location,מיקום,
Medium,בינוני,
Meta Description,תיאור מטא,
Meta Image,תמונה מטא,
Milestone,אבן דרך,
Monday,יום שני,
New,חָדָשׁ,
Note,הערה,
Notifications,התראות,
OAuth Client ID,מזהה לקוח של OAuth,
Offline,לא מקוון,
Online,באינטרנט,
Open,פתוח,
Option 1,אפשרות 1,
Option 2,אפשרות 2,
Option 3,אפשרות 3,
Output,תְפוּקָה,
PDF,PDF,
Password,סיסמא,
Pending,ממתין ל,
Percentage,אֲחוּזִים,
Private,פרטי,
Progress,התקדמות,
Public,ציבור,
Published,פורסם,
Published On,פורסם ב,
Rating,דֵרוּג,
Reference DocName,הפניה ל- DocName,
Reference DocType,הפניה ל- DocType,
Reference Document Type,התייחסות סוג המסמך,
Rejected,נדחה,
Reload,רענן,
Remote,מְרוּחָק,
Restricted,מוגבלת,
Review,סקירה,
Role,תפקיד,
Route,מַסלוּל,
Saturday,יום שבת,
Session Defaults,ברירות מחדל של מושב,
Sidebar Items,פריטים Sidebar,
Source,מקור,
Start Date,תאריך ההתחלה,
Start Time,זמן התחלה,
Status,סטטוס,
Summary,סיכום,
Sunday,יום ראשון,
System Manager,מנהל מערכת,
Tags,תגיות,
Template,תבנית,
Text,טקסט,
Thursday,יום חמישי,
Time,זְמַן,
Title,כותרת,
To,ל,
To Date,לתאריך,
Tuesday,יום שלישי,
Type,סוג,
URL,כתובת האתר,
User,מִשׁתַמֵשׁ,
User Field,שדה משתמש,
User Image,תמונת משתמש,
Username,שֵׁם מִשׁתַמֵשׁ,
Value,ערך,
Value Change,שינוי הערך,
View Website,אתר צפה ב,
Web Page,דף האינטרנט,
Wednesday,יום רביעי,
