Active,Active,
Address,చిరునామా,
Admin,అడ్మిన్,
All,ALL,
Amount,మొత్తం,
Approved,ఆమోదించబడింది,
Assignment,అసైన్మెంట్,
Cancelled,రద్దు,
Category,వర్గం,
City,సిటీ,
Client ID,క్లయింట్ ID,
Client Secret,క్లయింట్ సీక్రెట్,
Closed,ముగించబడినది,
Code,కోడ్,
Color,రంగు,
Comments,వ్యాఖ్యలు,
Company,కంపెనీ,
Company Name,కంపెనీ పేరు,
Complete,పూర్తి,
Completed,పూర్తయింది,
Condition,కండిషన్,
Confirmation Email Template,నిర్ధారణ ఇమెయిల్ మూస,
Content,కంటెంట్,
Country,దేశం,
Currency,కరెన్సీ,
Custom HTML,కస్టమ్ HTML,
Dashboard,డాష్బోర్డ్,
Date,తేదీ,
Day,డే,
Description,వివరణ,
Disable Signup,సైన్అప్ ఆపివేయి,
Disabled,వికలాంగుల,
Document,డాక్యుమెంట్,
Duration,వ్యవధి,
Email Sent,ఇమెయిల్ పంపబడింది,
Enable,ప్రారంభించు,
Enabled,ప్రారంభించబడ్డ,
End Date,ముగింపు తేదీ,
Event,ఈవెంట్,
Fail,విఫలం,
Failed,విఫలమైంది,
Featured,ఫీచర్ చేయబడింది,
Feedback,అభిప్రాయం,
Field To Check,తనిఖీ చేయడానికి ఫీల్డ్,
File Type,ఫైల్ రకం,
Friday,శుక్రవారం,
From,నుండి,
From Date,తేదీ నుండి,
Full Name,పూర్తి పేరు,
Function,ఫంక్షన్,
Host,హోస్ట్,
Icon,ఐకాన్,
Image,చిత్రం,
In Progress,ప్రోగ్రెస్లో ఉంది,
Inactive,క్రియారహిత,
Index,ఇండెక్స్,
JavaScript,జావాస్క్రిప్ట్,
Job,ఉద్యోగం,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Label,లేబుల్,
Language,భాషా,
Location,నగర,
Medium,మీడియం,
Meta Description,మెటా వివరణ,
Meta Image,మెటా చిత్రం,
Milestone,మైలురాయి,
Monday,సోమవారం,
New,న్యూ,
Note,గమనిక,
Notifications,ప్రకటనలు,
OAuth Client ID,OAuth క్లయింట్ ID,
Offline,ఆఫ్లైన్,
Online,ఆన్లైన్,
Open,ఓపెన్,
Option 1,ఎంపిక 1,
Option 2,ఎంపిక 2,
Option 3,ఎంపిక 3,
Output,అవుట్పుట్,
PDF,PDF,
Password,పాస్వర్డ్,
Pending,పెండింగ్,
Percentage,శాతం,
Private,ప్రైవేట్,
Progress,ప్రోగ్రెస్,
Public,పబ్లిక్,
Published,ప్రచురణ,
Published On,లో ప్రచురితమైన,
Rating,రేటింగ్,
Reference DocName,రిఫరెన్స్ DocName,
Reference DocType,రిఫరెన్స్ డాక్ టైప్,
Reference Document Type,సూచన డాక్యుమెంట్ టైప్,
Rejected,తిరస్కరించబడిన,
Reload,Reload,
Remote,రిమోట్,
Restricted,నిరోధిత,
Review,సమీక్ష,
Role,పాత్ర,
Route,రూట్,
Saturday,శనివారం,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
Sidebar Items,సైడ్బార్ అంశాలు,
Source,మూల,
Start Date,ప్రారంబపు తేది,
Start Time,ప్రారంభ సమయం,
Status,స్థితి,
Summary,సారాంశం,
Sunday,ఆదివారం,
System Manager,వ్యవస్థ మేనేజర్,
Tags,టాగ్లు,
Template,మూస,
Text,టెక్స్ట్,
Thursday,గురువారం,
Time,సమయం,
Title,శీర్షిక,
To,టు,
To Date,తేదీ,
Tuesday,మంగళవారం,
Type,రకం,
URL,URL,
User,వాడుకరి,
User Field,వినియోగదారు ఫీల్డ్,
User Image,వాడుకరి చిత్రం,
Username,యూజర్ పేరు,
Value,విలువ,
Value Change,విలువ మార్చండి,
View Website,చూడండి వెబ్సైట్,
Web Page,వెబ్ పుట,
Wednesday,బుధవారం,
