About,Hakkında,
Acceptance for Terms and/or Policies,Şartlar ve/veya Politikaların Kabulü,
Accepted,Kabul Edildi,
Account ID,Hesap Kimliği,
Account Name,Hesap İsmi,
Active,Aktif,
Address,Adres,
Admin,Yönetici,
All,Tümü,
Allow Job Posting From Website,Web Sitesinden İş İlanı Verilmesine İzin Verin,
Allow Self Enrollment,Kendi Kendine Kayıt Olmaya İzin Ver,
Allow accessing future dates,Gelecekteki tarihlere erişime izin ver,
Amount,Tutar,
Amount (USD),Tutar (USD),
Amount with GST,GST ile Tutar,
Answer,Cevap,
Apply GST for India,Hindistan için GST uygula,
Apply Rounding on Equivalent,Eşdeğer Üzerinde Yuvarlama Uygula,
Approved,Onaylandı,
Apps,Uygulamalar,
Assessment,Değerlendirme,
Assessment Name,Değerlendirme Adı,
Assessment Type,Değerlendirme Türü,
Assessments,Değerlendirmeler,
Assignment,Atama,
Assignment Attachment,Ödev Eki,
Assignment Title,Ödev Başlığı,
Assignment will appear at the bottom of the lesson.,Ödev dersin alt kısmında görünecektir.,
Attendees,Katılımcılar,
Attire Preference,Giyim Tercihi,
Auto Assign,Otomatik Atama,
Auto Recording,Otomatik Kayıt,
Badge,Rozet,
Badge Description,Rozet Açıklaması,
Badge Image,Rozet Resmi,
Batch,Parti,
Batch Confirmation Template,Toplu Onay Şablonu,
Batch Course,Toplu Kurs,
Batch Description,Parti Açıklaması,
Batch Details,Parti Detayları,
Batches,Sınıflar,
Begin Date,Başlangıç Tarihi,
Billing Details,Fatura Detayları,
Billing Name,Fatura İsmi,
Blue,Mavi,
Body,Vücut,
Branch,Görev Bölümü,
CGPA/4,CGPA/4,
Cancelled,İptal edildi,
Career Preference Details,Kariyer Tercihleri,
Category,Kategori,
Certificate,Sertifika,
Certificate Email Template,Sertifika E-posta Şablonu,
Certification,Sertifikasyon,
Certification Details,Sertifikalar,
Certification Name,Sertifika Adı,
Chapter,Bölüm,
Chapter Reference,Bölüm Referansı,
Chapters,Bölümler,
Choices,Seçimler,
City,Şehir,
Client ID,Client ID,
Client Secret,Client Secret,
Closed,Kapandı,
Cloud,Bulut,
