Active,د فعالو,
Address,پته,
Admin,اداره,
All,ټول,
Amount,اندازه,
Approved,تصویب شوې,
Assignment,دندې,
Cancelled,لغوه شوی,
Category,کټه ګورۍ,
City,ښار,
Client ID,د مراجع د تذکرو,
Client Secret,د مراجع د پټې,
Closed,تړل,
Code,کوډ,
Color,رنګ,
Comments,تبصرې,
Company,شرکت,
Company Name,دکمپنی نوم,
Complete,بشپړ,
Completed,بشپړ شوي,
Condition,حالت,
Confirmation Email Template,د تایید بریښنالیک ټیمپلیټ,
Content,منځپانګه,
Country,د هېواد,
Currency,د اسعارو,
Custom HTML,د ګمرکونو د HTML,
Dashboard,ډشبورډ,
Date,نېټه,
Day,ورځ,
Description,Description,
Disable Signup,نافعال لپارهخپل,
Disabled,معلولينو,
Document,سند,
Duration,موده,
Email Sent,برېښناليک لېږلو,
Enable,په توانول,
Enabled,وتوانول شوه,
End Date,د پای نیټه,
Event,دکمپاینونو,
Fail,ناکامي,
Failed,کې پاتې راغی,
Featured,ب .ه شوې,
Feedback,Feedback,
Field To Check,ساحه د چک کولو لپاره,
File Type,د دوتنې بڼه,
Friday,جمعه,
From,له,
From Date,له نېټه,
Full Name,پوره نوم,
Function,فعالیت,
Host,کوربه,
Icon,شبیه,
Image,د انځور,
In Progress,د پرمختګ په حال کې,
Inactive,غیر فعال,
Index,ډېرځليزې,
JavaScript,Javascript,
Job,دنده,
Keyboard Shortcuts,کيلي لنډلار,
Label,لیبل,
Language,ژبه,
Location,د ځای,
Medium,منځني,
Meta Description,د میټا توضیحات,
Meta Image,د میټا عکس,
Milestone,مایل,
Monday,دوشنبه,
New,نوی,
Note,یادښت,
Notifications,نوښتونه,
OAuth Client ID,د OAuth مؤکل ID,
Offline,د نالیکي,
Online,په آنلاین توګه,
Open,د پرانیستې,
Option 1,انتخاب: 1,
Option 2,انتخاب 2,
Option 3,انتخاب 3,
Output,Output,
PDF,د PDF,
Password,رمز,
Pending,په تمه,
Percentage,سلنه,
Private,د خصوصي,
Progress,پرمختګ,
Public,د عامې,
Published,Published,
Published On,بخش د,
Rating,درجه,
Reference DocName,د حوالې ډاټا نوم,
Reference DocType,د ډاټا ډول,
Reference Document Type,د حوالې سند ډول,
Rejected,رد,
Reload,Reload,
Remote,Remote,
Restricted,محدود شوی,
Review,بیاکتنه,
Role,رول,
Route,لار,
Saturday,شنبه,
Session Defaults,د ناستې ټاکل,
Sidebar Items,د پټې سامان,
Source,سرچینه,
Start Date,پیل نېټه,
Start Time,د پيل وخت,
Status,وضعیت,
Summary,لنډیز,
Sunday,یک شنبه,
System Manager,سيستم مدير,
Tags,نښانونه,
Template,کينډۍ,
Text,متن,
Thursday,پنجشنبه,
Time,وخت,
Title,نوم,
To,ته,
To Date,نن ورځ,
Tuesday,سه شنبه,
Type,ډول,
URL,URL,
User,کارن,
User Field,کارن ډګر,
User Image,کارن د انځور,
Username,نوم,
Value,ارزښت,
Value Change,د ارزښت د بدلون,
View Website,محتویات وېب پاڼه,
Web Page,ویب پاڼه,
Wednesday,چهارشنبه,
