Active,Jîr,
Address,Navnîşan,
Admin,Admin,
All,Gişt,
Amount,Biha,
Approved,pejirandin,
Assignment,Danî,
Cancelled,CANCELED,
Category,Liq,
City,Bajar,
Client ID,ID Client,
Client Secret,Client Secret,
Closed,Girtî,
Code,Navê dizî,
Color,Reng,
Comments,Comments,
Company,Şîrket,
Company Name,Navê Company,
Complete,Tevî,
Completed,Qediya,
Condition,Rewş,
Confirmation Email Template,Irmablonê E-nameya Piştrastkirinê,
Content,Dilşad,
Country,Welat,
Currency,Diravcins,
Custom HTML,HTML Custom,
Dashboard,Dashboard,
Date,Rojek,
Day,Roj,
Description,Terîf,
Disable Signup,Disable Signup,
Disabled,Bêmecel,
Document,Belge,
Duration,Demajok,
Email Sent,Email Sent,
Enable,Bikêrkirin,
Enabled,çalake,
End Date,Date End,
Event,Bûyer,
Fail,Biserîneçûn,
Failed,bi ser neket,
Featured,Featured,
Feedback,Feedback,
Field To Check,Field To Kontrol bike,
File Type,Cureyê pelê,
Friday,Roja Înê,
From,Ji,
From Date,ji Date,
Full Name,Navê tam,
Function,Karî,
Host,Mazûban,
Icon,Îkon,
Image,Wêne,
In Progress,Ez teslîm nabim,
Inactive,Bêkar,
Index,Naverok,
JavaScript,JavaScript,
Job,Kar,
Keyboard Shortcuts,Kurtikên Pêl,
Label,Awanasî,
Language,Ziman,
Location,Cîh,
Medium,Medya,
Meta Description,Danasîna Meta,
Meta Image,Meta Wêne,
Milestone,Milestone,
Monday,Duşem,
New,Nşh,
Note,Not,
Notifications,Notifications,
OAuth Client ID,Nasnameya Client OAuth,
Offline,Ne girêdayî,
Online,bike,
Open,Vekirî,
Option 1,Vebijarka 1,
Option 2,Vebijarka 2,
Option 3,Vebijarka 3,
Output,Karûabr,
PDF,PDF,
Password,Şîfre,
Pending,Nexelas,
Percentage,Rêza sedikê,
Private,Taybet,
Progress,Pêşverûtî,
Public,Alenî,
Published,Published,
Published On,Published ser,
Rating,Rating,
Reference DocName,DocName,
Reference DocType,DocType Reference,
Reference Document Type,Dokumenta Belgeyê,
Rejected,red,
Reload,Rûpelê,
Remote,Dûr,
Restricted,Tixûb kirin,
Review,Axaftin,
Role,Role,
Route,Rêk,
Saturday,Şemî,
Session Defaults,Session Defaults,
Sidebar Items,Nawy Kêlekê,
Source,Kanî,
Start Date,Destpêk Date,
Start Time,Time Start,
Status,Cî,
Summary,Berhevkirinî,
Sunday,Yekşem,
System Manager,sîstema Manager,
Tags,Tags,
Template,Şablon,
Text,Nivîstok,
Thursday,Pêncşem,
Time,Dem,
Title,Nav,
To,Ber,
To Date,to Date,
Tuesday,Sêşem,
Type,Awa,
URL,URL,
User,Bikaranîvan,
User Field,Qada user,
User Image,Wêne Bikarhêner,
Username,Username,
Value,Giranî,
Value Change,Change Nirx,
View Website,View Website,
Web Page,Page Web,
Wednesday,Çarşem,
