Active,Ενεργός,
Address,Διεύθυνση,
Admin,διαχειριστής,
All,Ολα,
Amount,Ποσό,
Approved,Εγκρίθηκε,
Assignment,Εκχώρηση,
Cancelled,Ακυρώθηκε,
Category,Κατηγορία,
City,Πόλη,
Client ID,Αναγνωριστικό πελάτη,
Client Secret,Πελάτη μυστικό,
Closed,Κλειστό,
Code,Κωδικός,
Color,Χρώμα,
Comments,Σχόλια,
Company,Εταιρεία,
Company Name,Όνομα εταιρείας,
Complete,Πλήρης,
Completed,Ολοκληρώθηκε,
Condition,Συνθήκη,
Confirmation Email Template,Πρότυπο ηλεκτρονικού ταχυδρομείου επιβεβαίωσης,
Content,Περιεχόμενο,
Country,Χώρα,
Currency,Νόμισμα,
Custom HTML,Προσαρμοσμένος κώδικας HTML,
Dashboard,Ταμπλό,
Date,Ημερομηνία,
Day,Ημέρα,
Description,Περιγραφή,
Disable Signup,Απενεργοποίηση εγγραφής,
Disabled,Απενεργοποιημένο,
Document,Έγγραφο,
Duration,Διάρκεια,
Email Sent,Το email απεστάλη,
Enable,Ενεργοποίηση,
Enabled,Ενεργοποιημένο,
End Date,Ημερομηνία λήξης,
Event,Συμβάν,
Fail,Αποτυγχάνω,
Failed,Αποτυχία,
Featured,Επιλεγμένο,
Feedback,Ανατροφοδότηση,
Field To Check,Πεδίο για έλεγχο,
File Type,Τύπος αρχείου,
Friday,Παρασκευή,
From,Από,
From Date,Από ημερομηνία,
Full Name,Ονοματεπώνυμο,
Function,Λειτουργία,
Host,Πλήθος,
Icon,Εικόνισμα,
Image,Εικόνα,
In Progress,Σε εξέλιξη,
Inactive,Αδρανής,
Index,Δείκτης,
JavaScript,JavaScript,
Job,Δουλειά,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Label,Ετικέτα,
Language,Γλώσσα,
Location,Τοποθεσία,
Medium,Μέσο,
Meta Description,Μετα-περιγραφή,
Meta Image,Μετα-εικόνα,
Milestone,Ορόσημο,
Monday,Δευτέρα,
New,Νέος,
Note,Σημείωση,
Notifications,Ειδοποιήσεις,
OAuth Client ID,Αναγνωριστικό πελάτη OAuth,
Offline,offline,
Online,σε απευθείας σύνδεση,
Open,Ανοιχτό,
Option 1,Επιλογή 1,
Option 2,Επιλογή 2,
Option 3,Επιλογή 3,
Output,Παραγωγή,
PDF,PDF,
Password,Κωδικός,
Pending,εκκρεμής,
Percentage,Τοις εκατό,
Private,Ιδιωτικός,
Progress,Πρόοδος,
Public,Δημόσιο,
Published,Δημοσιευμένο,
Published On,Δημοσιεύθηκε στις,
Rating,Εκτίμηση,
Reference DocName,Αρχείο αναφοράς αρχείου,
Reference DocType,DocType αναφοράς,
Reference Document Type,Αναφορά Τύπος εγγράφου,
Rejected,Απορρίφθηκε,
Reload,Επαναφόρτωση,
Remote,Μακρινός,
Restricted,Περιορισμένος,
Review,Ανασκόπηση,
Role,Ρόλος,
Route,Διαδρομή,
Saturday,Σάββατο,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Sidebar Items,Αντικείμενα της sidebar,
Source,Πηγή,
Start Date,Ημερομηνία έναρξης,
Start Time,Ώρα έναρξης,
Status,Κατάσταση,
Summary,Περίληψη,
Sunday,Κυριακή,
System Manager,Διαχειριστής συστήματος,
Tags,Ετικέτες,
Template,Πρότυπο,
Text,Κείμενο,
Thursday,Πέμπτη,
Time,χρόνος,
Title,Τίτλος,
To,Προς το,
To Date,Έως ημερομηνία,
Tuesday,Τρίτη,
Type,Τύπος,
URL,URL,
User,Χρήστης,
User Field,Πεδίο χρήστη,
User Image,Εικόνα εικόνα,
Username,Όνομα χρήστη,
Value,αξία,
Value Change,Αλλαγή τιμής,
View Website,Δείτε την ιστοσελίδα,
Web Page,Ιστοσελίδα,
Wednesday,Τετάρτη,
