Active,ገቢር,
Address,አድራሻ,
Admin,አስተዳደር,
All,ሁሉም,
Amount,መጠን,
Approved,ጸድቋል,
Assignment,የምደባ,
Cancelled,ተችሏል,
Category,መደብ,
City,ከተማ,
Client ID,የደንበኛ መታወቂያ,
Client Secret,የደንበኛ ሚስጥር,
Closed,ዝግ,
Code,ኮድ,
Color,ቀለም,
Comments,አስተያየቶች,
Company,ኩባንያ,
Company Name,የድርጅት ስም,
Complete,ተጠናቀቀ,
Completed,የተጠናቀቁ,
Condition,ሁኔታ,
Confirmation Email Template,ማረጋገጫ የኢሜል አብነት,
Content,ይዘት,
Country,አገር,
Currency,ገንዘብ,
Custom HTML,ብጁ ኤችቲኤምኤል,
Dashboard,ዳሽቦርድ,
Date,ቀን,
Day,ቀን,
Description,መግለጫ,
Disable Signup,ምዝገባ አሰናክል,
Disabled,ተሰናክሏል,
Document,ሰነድ,
Duration,ቆይታ,
Email Sent,ኢሜይል ተልኳል,
Enable,አንቃ,
Enabled,ነቅቷል,
End Date,የመጨረሻ ቀን,
Event,ድርጊት,
Fail,አልተሳካም,
Failed,አልተሳካም,
Featured,ተለይተው የቀረቡ,
Feedback,ግብረ-መልስ,
Field To Check,ለማጣራት መስክ,
File Type,የፋይል ዓይነት,
Friday,አርብ,
From,ከ,
From Date,ቀን ጀምሮ,
Full Name,ሙሉ ስም,
Function,ተግባር,
Host,አስተናጋጅ,
Icon,አዶ,
Image,ምስል,
In Progress,በሂደት ላይ,
Inactive,ገባሪ አይደለም,
Index,ማውጫ,
JavaScript,ጃቫስክሪፕት,
Job,ኢዮብ።,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Label,ምልክት,
Language,ቋንቋ,
Location,አካባቢ,
Medium,መካከለኛ,
Meta Description,ሜታ መግለጫ,
Meta Image,ሜታ ምስል,
Milestone,ማይልስ,
Monday,ሰኞ,
New,አዲስ,
Note,ማስታወሻ,
Notifications,ማሳወቂያዎች,
OAuth Client ID,OAuth የደንበኛ መታወቂያ,
Offline,ከመስመር ውጭ,
Online,የመስመር ላይ,
Open,ክፈት,
Option 1,አማራጭ 1,
Option 2,አማራጭ 2,
Option 3,አማራጭ 3,
Output,ዉጤት,
PDF,ፒዲኤፍ,
Password,የይለፍ ቃል,
Pending,በመጠባበቅ ላይ,
Percentage,በመቶ,
Private,የግል,
Progress,እድገት,
Public,ሕዝባዊ,
Published,የታተመ,
Published On,ላይ የታተመ,
Rating,ደረጃ አሰጣጥ,
Reference DocName,የማመሳከሪያ DocName,
Reference DocType,የማጣቀሻ ሰነድ ዓይነት,
Reference Document Type,የማጣቀሻ ሰነድ ዓይነት,
Rejected,ተቀባይነት አላገኘም,
Reload,ዳግም ጫን,
Remote,ሩቅ,
Restricted,የተከለከለ,
Review,ይገምግሙ።,
Role,ሚና,
Route,መንገድ,
Saturday,ቅዳሜ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Sidebar Items,የጎን ንጥሎች,
Source,ምንጭ,
Start Date,ቀን ጀምር,
Start Time,ጀምር ሰዓት,
Status,ሁናቴ,
Summary,ማጠቃለያ,
Sunday,እሁድ,
System Manager,የስርዓት አስተዳዳሪ,
Tags,መለያዎች,
Template,አብነት,
Text,ጽሑፍ,
Thursday,ሐሙስ,
Time,ጊዜ,
Title,አርእስት,
To,ለ,
To Date,ቀን ወደ,
Tuesday,ማክሰኞ,
Type,ዓይነት,
URL,ዩ አር ኤል,
User,ተጠቃሚው,
User Field,የተጠቃሚ መስክ,
User Image,የተጠቃሚ ምስል,
Username,የተጠቃሚ ስም,
Value,እሴት,
Value Change,እሴት ለውጥ,
View Website,ይመልከቱ ድር ጣቢያ,
Web Page,ድረ ገጽ,
Wednesday,እሮብ,
