Active,ใช้งาน,
Address,ที่อยู่,
Admin,ผู้ดูแลระบบ,
All,ทั้งหมด,
Amount,จำนวน,
Approved,ได้รับการอนุมัติ,
Assignment,การมอบหมาย,
Cancelled,ยกเลิก,
Category,ประเภท,
City,เมือง,
Client ID,รหัสลูกค้า,
Client Secret,ความลับของลูกค้า,
Closed,ปิด,
Code,รหัส,
Color,สี,
Comments,ความเห็น,
Company,บริษัท,
Company Name,ชื่อ บริษัท,
Complete,ที่สมบูรณ์แบบ,
Completed,เสร็จ,
Condition,สภาพ,
Confirmation Email Template,เทมเพลตอีเมลยืนยัน,
Contact Us,ติดต่อเรา,
Content,เนื้อหา,
Country,ประเทศ,
Currency,เงินตรา,
Custom HTML,ที่กำหนดเอง HTML,
Cyan,สีฟ้า,
Dashboard,แดชบอร์ด,
Date,วันที่,
Day,วัน,
Description,คำอธิบาย,
Disable Signup,ปิดการใช้งานลงทะเบียน,
Disabled,พิการ,
Document,เอกสาร,
Duration,ระยะเวลา,
Education,การศึกษา,
Email Sent,ส่งอีเมลแล้ว,
Emails,อีเมล,
Enable,เปิดใช้งาน,
Enabled,เปิดใช้งานแล้ว,
End Date,วันที่สิ้นสุด,
Event,เหตุการณ์,
Expiry Date,วันหมดอายุ,
Fail,ล้มเหลว,
Failed,ล้มเหลว,
Featured,แนะนำ,
Feedback,ข้อเสนอแนะ,
Field To Check,สนามในการตรวจสอบ,
File Type,ประเภทไฟล์,
Friday,วันศุกร์,
From,จาก,
From Date,จากวันที่,
Full Name,ชื่อเต็ม,
Function,ฟังก์ชัน,
Google Meet Link,ลิงก์ Google Meet,
Gray,สีเทา,
Green,สีเขียว,
Host,เจ้าภาพ,
Icon,ไอคอน,
Image,ภาพ,
In Progress,กำลังดำเนินการ,
Inactive,ไม่ใช้งาน,
Index,ดัชนี,
Industry,อุตสาหกรรม,
Issue Date,วันที่ออก,
JavaScript,จาวาสคริปต์,
Job,งาน,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Label,ป้ายกำกับ,
Language,ภาษา,
Location,ตำแหน่ง,
Medium,ปานกลาง,
Meta Description,คำอธิบายเมตา,
Meta Image,ภาพเมตา,
Milestone,เหตุการณ์สำคัญ,
Monday,วันจันทร์,
New,ใหม่,
Not Applicable,ไม่สามารถใช้ได้,
Note,หมายเหตุ,
Notifications,การแจ้งเตือน,
OAuth Client ID,รหัสลูกค้า OAuth,
Offline,ออฟไลน์,
Online,ออนไลน์,
Open,เปิด,
Option 1,ตัวเลือก 1,
Option 2,ตัวเลือก 2,
Option 3,ตัวเลือก 3,
Orange,สีส้ม,
Organization,องค์กร,
Output,ผลลัพธ์,
PDF,รูปแบบไฟล์ PDF,
Pass,ผ่าน,
Passed,ผ่านแล้ว,
Password,รหัสผ่าน,
Payment,การชำระเงิน,
Payment Gateway,เกตเวย์การชำระเงิน,
Payment Received,ได้รับการชำระเงิน,
Pending,คาราคาซัง,
Percentage,ร้อยละ,
Pink,สีชมพู,
Preview Image,ดูตัวอย่างภาพ,
Pricing,การตั้งราคา,
Private,ส่วนตัว,
Progress,ความคืบหน้า,
Public,สาธารณะ,
Published,เผยแพร่แล้ว,
Published On,เผยแพร่เมื่อ,
Purple,สีม่วง,
Python,ไพธอน,
Rating,อันดับ,
Red,สีแดง,
Reference DocName,ชื่อเอกสารอ้างอิง,
Reference DocType,ประเภทเอกสารอ้างอิง,
Reference Document Type,ประเภทเอกสารอ้างอิง,
Rejected,ถูกปฏิเสธ,
Reload,โหลด,
Remote,รีโมท,
Restricted,ถูก จำกัด,
Result,ผลลัพธ์,
Resume,ดำเนินการต่อ,
Review,ตรวจสอบ,
Role,บทบาท,
Route,เส้นทาง,
Saturday,วันเสาร์,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Sidebar Items,รายการ แถบด้านข้าง,
Source,แหล่ง,
Stage,ขั้นตอน,
Start Date,วันที่เริ่มต้น,
Start Time,เวลา,
Status,สถานะ,
Summary,สรุป,
Sunday,วันอาทิตย์,
System Manager,ผู้จัดการระบบ,
Tags,แท็ก,
Template,แบบ,
Text,ข้อความ,
Thursday,วันพฤหัสบดี,
Time,เวลา,
Title,ชื่อเรื่อง,
To,ไปยัง,
To Date,ถึงวันที่,
Tuesday,วันอังคาร,
Type,ชนิด,
URL,URL,
User,ผู้ใช้,
User Field,ฟิลด์ผู้ใช้,
User Image,ภาพผู้ใช้,
Username,ชื่อผู้ใช้,
Value,ค่า,
Value Change,การเปลี่ยนแปลงค่า,
View Website,ดูเว็บไซต์,
Visibility,การมองเห็น,
Web Page,หน้าเว็บ,
Wednesday,วันพุธ,
Yellow,สีเหลือง,
