Active,ක්රියාකාරී,
Address,ලිපිනය,
Admin,පරිපාලක,
All,සෑම,
Amount,ප්රමාණය,
Approved,අනුමත,
Assignment,පැවරුම,
Cancelled,අවලංගු කළා,
Category,වර්ගය,
City,නගරය,
Client ID,සේවාලාභී ID,
Client Secret,සේවාදායක රහස,
Closed,වසා,
Code,කේතය,
Color,වර්ණ,
Comments,අදහස්,
Company,සමාගම,
Company Name,සමාගම් නාමය,
Complete,සම්පූර්ණ,
Completed,සම්පූර්ණ කරන ලද,
Condition,තත්වය,
Confirmation Email Template,තහවුරු කිරීමේ විද්‍යුත් තැපැල් ආකෘතිය,
Content,අන්තර්ගත,
Country,රට,
Currency,මුදල්,
Custom HTML,රේගු HTML,
Dashboard,උපකරණ පුවරුව,
Date,දිනය,
Day,දවස,
Description,විස්තර,
Disable Signup,ගොණුව අක්රීය,
Disabled,ආබාධිත,
Document,ලේඛන,
Duration,කාල සීමාව,
Email Sent,ඊ-තැපැල් යවනු,
Enable,සක්රිය කරන්න,
Enabled,සක්රීය,
End Date,අවසාන දිනය,
Event,උත්සවය,
Fail,අසමත් විය,
Failed,අසමත්,
Featured,විශේෂාංග,
Feedback,ඔබෙන් ලැබෙන ප්රයෝජනාත්මක ප්රතිචාරය,
Field To Check,පරීක්ෂා කිරීමට ක්ෂේත්‍රය,
File Type,ගොනු වර්ගය,
Friday,සිකුරාදා,
From,සිට,
From Date,දින සිට,
Full Name,සම්පූර්ණ නම,
Function,ක්රියාකාරිත්වය,
Host,සත්කාරක රට,
Icon,අයිකනය,
Image,රූප,
In Progress,ප්රගතියේ,
Inactive,අක්රියයි,
Index,දර්ශකය,
JavaScript,කරුණාකර Javascript,
Job,රැකියා,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Label,ලේබලය,
Language,භාෂාව,
Location,ස්ථානය,
Medium,මධ්යම,
Meta Description,මෙටා විස්තරය,
Meta Image,මෙටා රූපය,
Milestone,සන්ධිස්ථානය,
Monday,සදුදා,
New,අලුත්,
Note,සටහන,
Notifications,දැනුම්දීම්,
OAuth Client ID,OAuth සේවාලාභී හැඳුනුම්පත,
Offline,නොබැඳි,
Online,සමඟ අමුත්තන්,
Open,විවෘත,
Option 1,විකල්ප 1,
Option 2,x විකල්ප 2,
Option 3,x විකල්ප 3,
Output,නිමැවුම,
PDF,PDF,
Password,මුරපදය,
Pending,විභාග,
Percentage,ප්‍රතිශතය,
Private,පුද්ගලික,
Progress,ප්රගතිය,
Public,පොදු,
Published,Published,
Published On,දා ප්රකාශයට පත්,
Rating,ශ්රේණිගත,
Reference DocName,විමර්ශන ඩොක් නාමය,
Reference DocType,යොමු ලේඛනය,
Reference Document Type,ආශ්රිත ලේඛන වර්ගය,
Rejected,ප්රතික්ෂේප,
Reload,රීලෝඩ්,
Remote,දුරස්ථ,
Restricted,සීමා කර ඇත,
Review,සමාලෝචනය,
Role,කාර්යභාරය,
Route,මාර්ග,
Saturday,සෙනසුරාදා,
Session Defaults,සැසි පෙරනිමි,
Sidebar Items,වැඩේටත් අයිතම,
Source,මූලාශ්රය,
Start Date,ආරම්භක දිනය,
Start Time,ආරම්භක වේලාව,
Status,තත්ත්වය,
Summary,සාරාංශය,
Sunday,ඉරිදා,
System Manager,පද්ධතිය කළමනාකරු,
Tags,ඇමිණුම්,
Template,සැකිල්ල,
Text,පෙළ,
Thursday,බ්රහස්පතින්දා,
Time,කාලය,
Title,ශීර්ෂය,
To,වෙත,
To Date,අදට,
Tuesday,අඟහරුවාදා,
Type,වර්ගය,
URL,URL එක,
User,පරිශීලක,
User Field,පරිශීලක ක්ෂේත්‍රය,
User Image,පරිශීලක රූප,
Username,පරිශීලක නාමය,
Value,වටිනාකම,
Value Change,අගය වෙනස්,
View Website,දැක්ම වෙබ් අඩවිය,
Web Page,වෙබ් පිටුව,
Wednesday,බදාදා,
