Active,ಕ್ರಿಯಾಶೀಲ,
Address,ವಿಳಾಸ,
Admin,ನಿರ್ವಹಣೆ,
All,ಎಲ್ಲಾ,
Amount,ಪ್ರಮಾಣ,
Approved,Approved,
Assignment,ನಿಯೋಜನೆ,
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Category,ವರ್ಗ,
City,ನಗರ,
Client ID,ಕ್ಲೈಂಟ್ ID,
Client Secret,ಕ್ಲೈಂಟ್ ರಹಸ್ಯ,
Closed,ಮುಚ್ಚಲಾಗಿದೆ,
Code,ಕೋಡ್,
Color,ಬಣ್ಣ,
Comments,ಪ್ರತಿಕ್ರಿಯೆಗಳು,
Company,ಕಂಪನಿ,
Company Name,ಕಂಪನಿ ಹೆಸರು,
Complete,ಕಂಪ್ಲೀಟ್,
Completed,ಪೂರ್ಣಗೊಂಡಿದೆ,
Condition,ಪರಿಸ್ಥಿತಿ,
Confirmation Email Template,ದೃ ir ೀಕರಣ ಇಮೇಲ್ ಟೆಂಪ್ಲೇಟು,
Content,ವಿಷಯ,
Country,ದೇಶ,
Currency,ಕರೆನ್ಸಿ,
Custom HTML,ಕಸ್ಟಮ್ HTML,
Dashboard,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್,
Date,ದಿನಾಂಕ,
Day,ದಿನ,
Description,ವಿವರಣೆ,
Disable Signup,ಸೈನ್ ಅಪ್ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ,
Disabled,ಅಂಗವಿಕಲ,
Document,ದಾಖಲೆ,
Duration,ಅವಧಿ,
Email Sent,ಕಳುಹಿಸಲಾದ ಇಮೇಲ್,
Enable,ಸಕ್ರಿಯಗೊಳಿಸಿ,
Enabled,ಶಕ್ತಗೊಂಡಿದೆ,
End Date,ಅಂತಿಮ ದಿನಾಂಕ,
Event,ಈವೆಂಟ್,
Fail,ಅನುತ್ತೀರ್ಣ,
Failed,ವಿಫಲವಾಗಿದೆ,
Featured,ವೈಶಿಷ್ಟ್ಯಗೊಳಿಸಿದ,
Feedback,ಪ್ರತ್ಯಾದಾನ,
Field To Check,ಪರಿಶೀಲಿಸಲು ಕ್ಷೇತ್ರ,
File Type,ಕಡತದ ವರ್ಗ,
Friday,ಶುಕ್ರವಾರ,
From,ಗೆ,
From Date,Fromdate,
Full Name,ಪೂರ್ಣ ಹೆಸರು,
Function,ಕಾರ್ಯ,
Host,ಹೋಸ್ಟ್,
Icon,ಐಕಾನ್,
Image,ಚಿತ್ರ,
In Progress,ಪ್ರಗತಿಯಲ್ಲಿದೆ,
Inactive,ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ,
Index,ಸೂಚಿ,
JavaScript,ಜಾವಾಸ್ಕ್ರಿಪ್ಟ್,
Job,ಕೆಲಸ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Label,ಚೀಟಿ,
Language,ಭಾಷೆ,
Location,ಸ್ಥಳ,
Medium,ಮಧ್ಯಮ,
Meta Description,ಮೆಟಾ ವಿವರಣೆ,
Meta Image,ಮೆಟಾ ಇಮೇಜ್,
Milestone,ಮೈಲಿಗಲ್ಲು,
Monday,ಸೋಮವಾರ,
New,ಹೊಸದು,
Note,ನೋಡು,
Notifications,ಅಧಿಸೂಚನೆಗಳು,
OAuth Client ID,OAuth ಕ್ಲೈಂಟ್ ID,
Offline,ಆಫ್ಲೈನ್,
Online,ಆನ್ಲೈನ್,
Open,ತೆರೆದ,
Option 1,ಆಯ್ಕೆ 1,
Option 2,ಆಯ್ಕೆ 2,
Option 3,ಆಯ್ಕೆ 3,
Output,ಔಟ್ಪುಟ್,
PDF,ಪಿಡಿಎಫ್,
Password,ಪಾಸ್ವರ್ಡ್,
Pending,ಬಾಕಿ,
Percentage,ಶೇಕಡಾವಾರು,
Private,ಖಾಸಗಿ,
Progress,ಪ್ರೋಗ್ರೆಸ್,
Public,ಸಾರ್ವಜನಿಕ,
Published,ಪ್ರಕಟಣೆ,
Published On,ರಂದು ಪ್ರಕಟವಾದ,
Rating,ರೇಟಿಂಗ್,
Reference DocName,ರೆಫರೆನ್ಸ್ ಡಾಕ್ ಹೆಸರು,
Reference DocType,ಉಲ್ಲೇಖ ಡಾಕ್ಟೈಪ್,
Reference Document Type,ರೆಫರೆನ್ಸ್ ಡಾಕ್ಯುಮೆಂಟ್ ಕೌಟುಂಬಿಕತೆ,
Rejected,ತಿರಸ್ಕರಿಸಲಾಗಿದೆ,
Reload,ರೀಲೋಡ್,
Remote,ರಿಮೋಟ್,
Restricted,ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ,
Review,ವಿಮರ್ಶೆ,
Role,ರೋಲ್,
Route,ಮಾರ್ಗ,
Saturday,ಶನಿವಾರ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Sidebar Items,ಪಾರ್ಶ್ವಪಟ್ಟಿ ಐಟಂಗಳು,
Source,ಮೂಲ,
