About,درباره,
Accepted,پذیرفته شده,
Account ID,شناسه حساب,
Account Name,نام کاربری,
Active,فعال,
Address,آدرس,
Admin,ادمین,
All,همه,
Allow Guest Access,اجازه دسترسی مهمان,
Allow Job Posting From Website,اجازه ثبت شغل از وب سایت,
Allow Self Enrollment,اجازه ثبت نام خود,
Allow accessing future dates,اجازه دسترسی به تاریخ‌های آینده,
Amber,کهربایی,
Amount,مبلغ,
Amount (USD),مبلغ (دلار آمریکا),
Amount with GST,مبلغ با GST,
Answer,پاسخ,
Apply GST for India,GST را برای هند اعمال کنید,
Apply Rounding on Equivalent,گرد کردن را روی معادل اعمال کنید,
Approved,تأیید شده,
Apps,برنامه‌ها,
Assessment,ارزیابی,
Assessment Name,نام ارزیابی,
Assessment Type,نوع ارزیابی,
Assessments,ارزیابی ها,
Assignment,تخصیص,
Assignment Attachment,پیوست تکلیف,
Assignment Title,عنوان تکلیف,
Assignment will appear at the bottom of the lesson.,تکلیف زیر درس نشان داده می‌شود.,
Attendees,شرکت کنندگان,
Badge,نشان,
Badge Description,توضیحات نشان,
Batch,دسته,
Batch Course,دوره دسته ای,
Batch Description,توضیحات دسته,
Batch Details,جزئیات دسته,
Batch Details Raw,جزئیات دسته خام,
Batch Evaluator,ارزیاب دسته,
Batch Name,نام دسته,
Batch Old,دسته قدیمی,
Batch Settings,تنظمات دسته,
Billing Details,جزئیات صورتحساب,
Billing Name,نام صورتحساب:,
Blue,آبی,
Body,بدنه,
Branch,شاخه,
CGPA/4,CGPA/4,
Cancelled,لغو شده,
Category,دسته بندی,
Certificate,گواهی,
Certifications,گواهینامه‌ها,
Chapter,فصل,
Chapters,فصل‌ها,
Choices,گزینه‌ها,
City,شهر,
Client ID,شناسه مشتری,
Client Secret,راز مشتری,
Closed,بسته شده,
Cloud,ابر,
Code,کد,
Color,رنگ,
Comments,دیدگاه‌ها,
Company,شرکت,
Company Details,جزئیات شرکت,
Company Logo,آرم شرکت,
Company Name,نام شرکت,
Company Website,وب سایت شرکت,
Complete,کامل,
Completed,تکمیل شده,
Condition,شرط,
Confirmation Email Template,الگوی ایمیل تأیید,
Contact Us,تماس با ما,
Contact Us Email,ایمیل تماس با ما,
Contact Us URL,آدرس اینترنتی تماس با ما,
Content,محتوا,
Contract,قرارداد,
Correct,درست,
Country,کشور,
Course,دوره,
Course Chapter,فصل دوره,
Course Evaluator,ارزیاب دوره,
Course Instructor,مدرس دوره,
Course Lesson,درس دوره,
Course Settings,تنظیمات دوره,
Course Title,عنوان دوره,
Courses,دوره ها,
Currency,واحد پول,
Current Lesson,درس فعلی,
Custom HTML,HTML سفارشی,
Custom Script (JavaScript),اسکریپت سفارشی (جاوا اسکریپت),
Cyan,فیروزه ای,
Dashboard,داشبورد,
Date,تاریخ,
Day,روز,
Default Currency,ارز پیش‌فرض,
Degree Type,نوع مدرک,
Description,شرح,
Disable Self Learning,خودآموزی را غیرفعال کنید,
Disable Signup,غیرفعال کردن ثبت نام,
Disabled,غیرفعال,
Document,سند,
Duration,مدت زمان,
Duration (in minutes),مدت زمان (بر حسب دقیقه),
E-Mail,ایمیل,
E-mail,ایمیل,
Education,تحصیلات,
Education Detail,جزئیات آموزش,
Email Sent,ایمیل ارسال شد,
Email Templates,قالب‌های ایمیل,
Emails,ایمیل ها,
Enable,فعال کردن,
Enabled,فعال,
End Date,تاریخ پایان,
End Date (or expected),تاریخ پایان (یا مورد انتظار),
End Time,زمان پایان,
Evaluator,ارزیاب,
Event,رویداد,
Exercise,تمرین,
Expected Output,خروجی مورد انتظار,
Expiry Date,تاریخ انقضا,
Explanation,توضیح,
Explanation ,توضیح ,
Failed,ناموفق,
Featured,ویژه,
Feedback,بازخورد,
Field To Check,فیلد برای بررسی,
File Type,نوع فایل,
Frappe Support,پشتیبانی Frappe,
Friday,جمعه,
From,از,
From Date,از تاریخ,
Full Name,نام و نام خانوادگی,
Full Time,تمام وقت,
Function,تابع,
General,عمومی,
Google Meet Link,پیوند Google Meet,
Grade,مقطع تحصیلی,
Gray,خاکستری,
Green,سبز,
Hide my Private Information from others,مخفی کردن اطلاعات خصوصی من از دیگران,
Highlighted Text,متن هایلایت شده,
Hints,راهنمایی‌ها,
Host,میزبان,
Hybrid,ترکیبی,
I am currently working here,من در حال حاضر اینجا کار می‌کنم,
Icon,آیکون,
Image,تصویر,
In Progress,در حال انجام,
Inactive,غیر فعال,
Include In Preview,شامل در پیش‌نمایش,
Incomplete,ناتمام,
Incorrect,نادرست,
Index,شاخص,
Industry,صنعت,
Instructor,مدرس,
Instructor Notes,یادداشت های مدرس,
Instructors,مدرس ها,
Invite Code,کد دعوت,
Issue Date,تاریخ صدور,
Issued On,صادر شده در,
Items in Sidebar,موارد موجود در نوار کناری,
JavaScript,جاوا اسکریپت,
Job Title,عنوان شغلی,
Jobs,شغل ها,
Keyboard Shortcuts,میانبرهای صفحه کلید,
LMS,LMS,
LMS Batch Enrollment,ثبت نام دسته ای LMS,
LMS Certificate,گواهی LMS,
LMS Certificate Evaluation,ارزیابی گواهی LMS,
LMS Certificate Request,درخواست گواهی LMS,
LMS Course,دوره LMS,
LMS Exercise,تمرین LMS,
LMS Lesson Note,یادداشت درس LMS,
LMS Payment,پرداخت LMS,
LMS Question,سؤال LMS,
LMS Quiz,آزمون LMS,
LMS Quiz Result,نتیجه آزمون LMS,
LMS Settings,تنظیمات LMS,
LMS Source,منبع LMS,
LMS Student,دانشجوی LMS,
LMS Timetable Template,الگوی جدول زمانی LMS,
Label,برچسب,
Language,زبان,
Lesson,درس,
Lesson Title,عنوان درس,
Lessons,درس ها,
Live,فعال,
Live Class,کلاس زنده,
Local,محلی,
Location,محل,
Log out,خروج,
Manager,مدیر,
Marks,نمرات,
Medium,متوسط,
Member,عضو,
Member Name,نام عضو,
Member Type,نوع عضو,
Member Username,نام کاربری عضو,
Membership,عضویت,
Mentor,مربی,
Mentor Name,نام مربی,
Meta Description,توضیحات متا,
Meta Image,تصویر متا,
Milestone,نقطه عطف,
Monday,دوشنبه,
My Profile,نمایه من,
My Settings,تنظیمات من,
New,جدید,
Not Applicable,قابل اجرا نیست,
Note,یادداشت,
Notifications,اعلان‌ها,
OAuth Client ID,شناسه مشتری OAuth,
Offline,آفلاین,
On-site,در محل,
Online,آنلاین,
Open,باز,
Option,گزینه,
Option 1,انتخاب 1,
Option 2,گزینه 2,
Option 3,گزینه 3,
Option 4,انتخاب کردن 4,
Orange,نارنجی,
Organization,سازمان,
Output,خروجی,
PDF,PDF,
Pages,صفحات,
Part Time,پاره وقت,
Passed,گذشت,
Password,گذرواژه,
Payment,پرداخت,
Payment Gateway,درگاه پرداخت,
Payment ID,شناسه پرداخت,
Payment Received,پرداخت دریافت شد,
Payment Reminder Template,الگوی یادآوری پرداخت,
Pending,انتظار,
Percentage,درصد,
Percentage (e.g. 70%),درصد (به عنوان مثال 70%),
Pink,صورتی,
Possible Answer 1,پاسخ ممکن ۱,
Possible Answer 2,پاسخ ممکن ۲,
Possible Answer 3,پاسخ ممکن ۳,
Possible Answer 4,پاسخ ممکن ۴,
Preview Image,پیش‌نمایش تصویر,
Pricing,قیمت گذاری,
Private,خصوصی,
Programming Exercises,تمرین‌های برنامه‌نویسی,
Progress,پیشرفت,
Public,عمومی,
Published,منتشر شده,
Published On,منتشر شده در,
Purple,بنفش,
Python,پایتون,
Question,سؤال,
Questions,سوالات,
Quiz,آزمون,
Quiz ID,شناسه آزمون,
Quiz will appear at the bottom of the lesson.,تکلیف زیر درس نشان داده می‌شود.,
Rating,رتبه بندی,
Ready,آماده,
Red,قرمز,
Reference DocName,مرجع DocName,
Reference DocType,DocType مرجع,
Reference Document Type,نوع سند مرجع,
Rejected,رد شده,
Reload,بارگذاری مجدد,
Remote,از راه دور,
Restricted,محدود شده است,
Result,نتیجه,
Resume,رزومه,
Review,مرور,
Role,نقش,
Route,مسیر,
SEO,سئو,
Saturday,شنبه,
Schedule,زمان‌بندی,
Scope,محدوده,
Score,نمره,
Seat Count,تعداد صندلی ها,
Session Defaults,پیش‌فرض‌های نشست,
Show Answer,نمایش پاسخ,
Show Answers,نمایش پاسخ ها,
Sidebar,نوار کناری,
Sidebar Items,موارد نوار کناری,
Skill,مهارت,
Skill Name,نام مهارت,
Skills,مهارت ها,
Slug,نامک,
Source,منبع,
Stage,صحنه,
Start Date,تاریخ شروع,
Start Time,زمان شروع,
Statistics,آمار,
Status,وضعیت,
Student,دانش‌آموز,
Students,دانش‌آموزان,
Subgroup,زیر گروه,
Summary,خلاصه,
Sunday,یک‌شنبه,
System Manager,مدیر سیستم,
Tags,تگ‌ها,
Teal,فیروزه‌ای,
Template,الگو,
Text,متن,
Thursday,پنج‌شنبه,
Time,زمان,
Timetable,جدول زمانی,
Timetable Template,الگوی جدول زمانی,
Timezone,منطقه زمانی,
Title,عنوان,
To,به,
To Date,تا تاریخ,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Tuesday,سه‌شنبه,
Type,نوع,
URL,URL,
UUID,UUID,
Under Review,تحت بررسی,
Upcoming,آینده,
User,کاربر,
User Field,فیلد کاربری,
User Image,تصویر کاربر,
User Input,ورودی کاربر,
User Skill,مهارت کاربر,
Username,نام کاربری,
Value,مقدار,
Value Change,تغییر ارزش,
View Website,مشاهده وب سایت,
Violet,بنفش,
Visibility,دید,
Web Page,صفحه وب,
Wednesday,چهارشنبه,
Yellow,زرد,
