Active,active,
Address,လိပ်စာ,
Admin,အဒ်မင်,
All,အားလုံး,
Amount,ငွေပမာဏ,
Approved,Approved,
Assignment,တာဝန်ကျတဲ့နေရာ,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Category,Category:,
City,မြို့,
Client ID,client ID ကို,
Client Secret,client လျှို့ဝှက်ချက်,
Closed,ပိတ်ထားသော,
Code,Code ကို,
Color,အရောင်,
Comments,comments,
Company,ကုမ္ပဏီ,
Company Name,ကုမ္ပဏီအမည်,
Complete,ပြည့်စုံသော,
Completed,ပြီးစီး,
Condition,condition,
Confirmation Email Template,အတည်ပြုအီးမေးလ် template,
Content,content,
Country,ပြည်,
Currency,ငှေကွေး,
Custom HTML,custom က HTML,
Dashboard,ဒိုင်ခွက်,
Date,နေ့စှဲ,
Day,နေ့,
Description,ဖေါ်ပြချက်,
Disable Signup,signup လုပ်နိုင်ပါသည်ကို disable,
Disabled,ချို့ငဲသော,
Document,စာရွက်စာတမ်း,
Duration,ရှည်ကြာခြင်း,
Email Sent,အီးမေးလ် Sent,
Enable,Enable,
Enabled,Enabled,
End Date,အဆုံးနေ့စွဲ,
Event,အဖြစ်အပျက်,
Fail,ဆုံးရှုံး,
Failed,Failed,
Featured,ကဗျာ,
Feedback,တုံ့ပြန်ချက်,
Field To Check,Check ရန်ကွင်းဆင်း,
File Type,ဖိုင်အမျိုးအစား,
Friday,သောကြာနေ့,
From,မှ,
From Date,နေ့စွဲကနေ,
Full Name,နာမည်အပြည့်အစုံ,
Function,function ကို,
Host,host က,
Icon,အိုင်ကွန်,
Image,image,
In Progress,ဆောင်ရွက်ဆဲဖြစ်သည်,
Inactive,မလှုပ်ရှားတတ်သော,
Index,ညွှန်ပြသောအရာ,
JavaScript,Javascript ကို,
Job,အလုပ်,
Keyboard Shortcuts,keyboard Shortcuts,
Label,ကပ်တံဆိပ်,
Language,ဘာသာစကား,
Location,တည်ရှိမှု,
Medium,အလယ်အလတ်,
Meta Description,Meta ဖော်ပြချက်,
Meta Image,Meta ပုံ,
Milestone,မှတ်တိုင်,
Monday,တနင်္လာနေ့,
New,အသစ်,
Note,မှတ်ချက်,
Notifications,အသိပေးချက်များ,
OAuth Client ID,OAuth လိုင်း ID ကို,
Offline,အော့ဖ်လိုင်း,
Online,အွန်လိုင်း,
Open,ဖွင့်လှစ်,
Option 1,option 1,
Option 2,option 2,
Option 3,option 3,
Output,output,
PDF,PDF ဖိုင်ရယူရန်,
Password,စကားဝှက်,
Pending,လာမည့်,
Percentage,ရာခိုင်နှုန်း,
Private,ကိုယ်ပိုင်,
Progress,တိုးတက်ခြင်း,
Public,ပြည်သူ့ကျန်းမာရေး,
Published,Published,
Published On,တွင် Published,
Rating,rating,
Reference DocName,ကိုးကားစရာ DOCNAME,
Reference DocType,ကိုးကားစရာ DOCTYPE,
Reference Document Type,ကိုးကားစရာ Document ဖိုင် Type အမျိုးအစား,
Rejected,ပယ်ချ,
Reload,Reload ကို,
Remote,ဝေးလံသော,
Restricted,ကန့်သတ်,
Review,ဆန်းစစ်ခြင်း,
Role,အခန်းက္ပ,
Route,ခရီးစဉ်,
Saturday,စနေနေ့,
Session Defaults,session Defaults ကို,
Sidebar Items,sidebar ပစ္စည်းများ,
Source,အရင်းအမြစ်,
Start Date,စတင်သည့်ရက်စွဲ,
Start Time,Start ကိုအချိန်,
Status,အဆင့်အတန်း,
Summary,အကျဉ်းချုပ်,
Sunday,တနင်္ဂနွေ,
System Manager,system Manager က,
Tags,Tags:,
Template,template,
Text,စာသား,
Thursday,ကြာသပတေးနေ့,
Time,အချိန်,
Title,ဘှဲ့,
To,သို့,
To Date,ယနေ့အထိ,
Tuesday,အင်္ဂါနေ့,
Type,ပုံစံ,
URL,URL ကို,
User,အသုံးပြုသူကို,
User Field,အသုံးပြုသူဖျော်ဖြေမှု,
User Image,"အသုံးပြုသူသင်ခန်းစာများ,",
Username,အသုံးပြုသူအမည်,
Value,တန်ဖိုး,
Value Change,Value တစ်ခုပြောင်းရန်,
View Website,view ဝက်ဘ်ဆိုက်,
Web Page,ဝက်ဘ်စာမျက်နှာ,
Wednesday,ဗုဒ္ဓဟူးနေ့,
