Active,Активен,
Address,Адреса,
Admin,Admin,
All,Сите,
Amount,Износ,
Approved,Одобрени,
Assignment,доделување,
Cancelled,Откажано,
Category,Категорија,
City,Градот,
Client ID,ID на клиентот,
Client Secret,клиент тајна,
Closed,Затвори,
Code,Код,
Color,Боја,
Comments,Коментари,
Company,Компанијата,
Company Name,Име на компанијата,
Complete,Заврши,
Completed,Завршено,
Condition,Состојба,
Confirmation Email Template,Шаблон за е-пошта за потврда,
Content,Содржина,
Country,Земја,
Currency,Валута,
Custom HTML,Прилагодено HTML,
Dashboard,Табла,
Date,Датум,
Day,ден,
Description,Опис,
Disable Signup,Оневозможи Регистрирај се,
Disabled,Со посебни потреби,
Document,Документ,
Duration,Времетраење,
Email Sent,Е-мејл испратен,
Enable,Овозможи,
Enabled,Овозможено,
End Date,Крај Датум,
Event,Настан,
Fail,Не успеа,
Failed,Не успеа,
Featured,Избрана,
Feedback,Повратна информација,
Field To Check,Поле за проверка,
File Type,Тип на датотека,
Friday,Петок,
From,Од,
From Date,Од Датум,
Full Name,Целосно име,
Function,Функција,
Host,домаќинот,
Icon,Икона,
Image,Слика,
In Progress,Во тек,
Inactive,Неактивен,
Index,Индекс,
JavaScript,Javascript-от,
Job,Работа,
Keyboard Shortcuts,Кратенки на тастатурата,
Label,Етикета,
Language,Јазик,
Location,Локација,
Medium,Медиум,
Meta Description,Мета опис,
Meta Image,Мета слика,
Milestone,Пресвртница,
Monday,Понеделник,
New,Ново,
Note,Забелешка,
Notifications,Известувања,
OAuth Client ID,ИД на клиент на OAuth,
Offline,Надвор од мрежа,
Online,онлајн,
Open,Отворен,
Option 1,Опција 1,
Option 2,Опција 2,
Option 3,Опција 3,
Output,излез,
PDF,PDF,
Password,Лозинка,
Pending,Во очекување,
Percentage,Процент,
Private,Приватен,
Progress,напредок,
Public,Јавноста,
Published,Објавено,
Published On,Објавено на,
Rating,Рејтинг,
Reference DocName,Референтен DocName,
Reference DocType,Референтен DocType,
Reference Document Type,Референтен документ Тип,
Rejected,Одбиени,
Reload,Вчитај ја страната повторно,
Remote,Далечински управувач,
Restricted,Ограничено,
Review,Преглед,
Role,Улога,
Route,Пат,
Saturday,Сабота,
Session Defaults,Сесија стандардно,
Sidebar Items,Странична лента Теми,
Source,Извор,
Start Date,Датум на почеток,
Start Time,Почеток Време,
Status,Статус,
Summary,Резиме,
Sunday,Недела,
System Manager,Систем за менаџер,
Tags,Тагови,
Template,Шаблон,
Text,Текст,
Thursday,Четврток,
Time,Време,
Title,Наслов,
To,До,
To Date,Датум,
Tuesday,Вторник,
Type,Тип,
URL,URL,
User,Корисник,
User Field,Корисничко поле,
User Image,Најави image,
Username,Корисничко име,
Value,Вредност,
Value Change,Вредност промени,
View Website,Преглед на веб-страница,
Web Page,Веб-страница,
Wednesday,Среда,
