Active,Faol,
Address,Manzil,
Admin,Admin,
All,HAMMA,
Amount,Miqdori,
Approved,Tasdiqlandi,
Assignment,Tayinlangan,
Cancelled,BEKOR QILISH,
Category,Turkum,
City,Shahar,
Client ID,Mijoz identifikatori,
Client Secret,Mijozning sirti,
Closed,Yopiq,
Code,Kod,
Color,Rang,
Comments,Sharhlar,
Company,Kompaniya,
Company Name,kopmaniya nomi,
Complete,To&#39;ldiring,
Completed,Tugallandi,
Condition,Vaziyat,
Confirmation Email Template,Elektron pochta shablonini tasdiqlash,
Content,Kontent,
Country,Davlat,
Currency,Valyuta,
Custom HTML,Maxsus HTML,
Dashboard,Asboblar paneli,
Date,Sana,
Day,Kun,
Description,Ta&#39;rif,
Disable Signup,Ro&#39;yxatga olishni o&#39;chirib qo&#39;yish,
Disabled,O&#39;chirib qo&#39;yildi,
Document,Hujjat,
Duration,Muddati,
Email Sent,E-pochta yuborildi,
Enable,Yoqish,
Enabled,Faol,
End Date,Tugash sanasi,
Event,Voqealar,
Fail,Muvaffaqiyatsiz,
Failed,Muvaffaqiyatsiz,
Featured,Tavsiya etilgan,
Feedback,Fikr-mulohaza,
Field To Check,Tekshirish uchun maydon,
File Type,Fayl turi,
Friday,Juma kuni,
From,From,
From Date,Sana bo&#39;yicha,
Full Name,To&#39;liq ismi sharif,
Function,Funktsiya,
Host,Xost,
Icon,Belgi,
Image,Rasm,
In Progress,Jarayonda,
Inactive,Faol emas,
Index,Indeks,
JavaScript,JavaScript,
Job,Ish,
Keyboard Shortcuts,Klaviatura yorliqlari,
Label,Yorliq,
Language,Til,
Location,Manzil,
Medium,O&#39;rtacha,
Meta Description,Meta tavsifi,
Meta Image,Meta tasvir,
Milestone,Bosqich,
Monday,Dushanba,
New,Yangi,
Note,Eslatma,
Notifications,Bildirishnomalar,
OAuth Client ID,OAuth mijoz identifikatori,
Offline,Oflayn,
Online,Onlaynda,
Open,Ochish,
Option 1,1-variant,
Option 2,Variant 2,
Option 3,Variant 3,
Output,Chiqish,
PDF,PDF,
Password,Parol,
Pending,Kutilmoqda,
Percentage,Foiz,
Private,Xususiy,
Progress,Harakatlaning,
Public,Ommaviy,
Published,Nashr etildi,
Published On,Chop etildi,
Rating,Reyting,
Reference DocName,Yo&#39;naltirilgan DocName,
Reference DocType,DocType ma&#39;lumotnomasi,
Reference Document Type,Hujjatning turi,
Rejected,Rad etildi,
Reload,Qayta yuklash,
Remote,Masofaviy,
Restricted,Cheklangan,
Review,Sharh,
Role,Rol,
Route,Yo&#39;nalish,
Saturday,Shanba,
Session Defaults,Sessiya standartlari,
Sidebar Items,Yonaloq buyumlari,
Source,Manba,
Start Date,Boshlanish vaqti,
Start Time,Boshlanish vaqti,
Status,Holat,
Summary,Xulosa,
Sunday,yakshanba,
System Manager,Tizim menejeri,
Tags,Teglar,
Template,Andoza,
Text,Matn,
Thursday,Payshanba,
Time,Vaqt,
Title,Sarlavha,
To,To,
To Date,Hozirgi kungacha,
Tuesday,Seshanba,
Type,Turi,
URL,URL,
User,Foydalanuvchi,
User Field,Foydalanuvchi maydoni,
User Image,Foydalanuvchi Foydalanuvchi bilan,
Username,Foydalanuvchi nomi,
Value,Qiymati,
Value Change,Qiymat o&#39;zgarishi,
View Website,Veb-saytni ko&#39;rish,
Web Page,Veb-sahifa,
Wednesday,Chorshanba,
