Account Name,Nama Akun,
Active,Aktif,
Address,Alamat,
Admin,Admin,
All,Semua,
Amount,Jumlah,
Approved,Disetujui,
Assignment,Tugas,
Batch,Batch,
Blue,Biru,
Branch,Cabang,
Cancelled,Dibatalkan,
Category,Kategori,
City,Kota,
Client ID,ID klien,
Client Secret,Rahasia Klien,
Closed,Tertutup,
Code,Kode,
Color,Warna,
Comments,Komentar,
Company,Perusahaan,
Company Name,Nama Perusahaan,
Complete,Selesai,
Completed,Selesai,
Condition,Kondisi,
Confirmation Email Template,Template Email Konfirmasi,
Content,Isi Halaman,
Contract,Kontrak,
Country,Negara,
Currency,Mata Uang,
Custom HTML,Custom HTML,
Cyan,Cyan,
Dashboard,Dasbor,
Date,Tanggal,
Day,Hari,
Description,Deskripsi,
Disable Signup,Nonaktifkan Signup,
Disabled,Dinonaktifkan,
Document,Dokumen,
Duration,Lamanya,
Email Sent,Email Terkirim,
Enable,Aktifkan,
Enabled,Diaktifkan,
End Date,Tanggal Akhir,
Event,Acara,
Fail,Gagal,
Failed,Gagal,
Featured,Unggulan,
Feedback,Umpan balik,
Field To Check,Field Untuk Memeriksa,
File Type,Tipe file,
Friday,Jum'at,
From,Dari,
From Date,Dari Tanggal,
Full Name,Nama Lengkap,
Function,Fungsi,
Gray,Abu-abu,
Green,Hijau,
Host,Tuan rumah,
Icon,Ikon,
Image,Gambar,
In Progress,Sedang berlangsung,
Inactive,Tidak aktif,
Index,Indeks,
JavaScript,JavaScript,
Job,Pekerjaan,
Jobs,Pekerjaan,
Keyboard Shortcuts,Pintasan keyboard,
Label,Label,
Language,Bahasa,
Local,[Daerah,
Location,Lokasi,
Medium,Sedang,
Meta Description,Deskripsi meta,
Meta Image,Gambar Meta,
Milestone,Batu,
Monday,Senin,
New,Baru,
Note,Catatan,
Notifications,Pemberitahuan,
OAuth Client ID,ID Klien OAuth,
Offline,Offline,
Online,On line,
Open,Buka,
Option 1,Pilihan 1,
Option 2,Opsi 2,
Option 3,Opsi 3,
Orange,Oranye,
Organization,Organisasi,
Output,Keluaran,
PDF,PDF,
Password,Kata sandi,
Payment,Pembayaran,
Payment Received,Pembayaran diterima,
Pending,Menunggu,
Percentage,Persentase,
Pink,Merah Muda,
Pricing,Harga,
Private,Swasta,
Progress,Kemajuan,
Public,Publik,
Published,Diterbitkan,
Published On,Published On,
Purple,Ungu,
Rating,penilaian,
Red,Merah,
Reference DocName,Referensi Nama Dokumen,
Reference DocType,Referensi DocType,
Reference Document Type,Tipe Dokumen Referensi,
Rejected,Ditolak,
Reload,Mengisi kembali,
Remote,Terpencil,
Restricted,Terbatas,
Resume,Lanjut,
Review,Ulasan,
Role,Peran,
Route,Rute,
Saturday,Sabtu,
Session Defaults,Default Sesi,
Sidebar Items,Sidebar Items,
Skill,Ketrampilan,
Source,Sumber,
Start Date,Tanggal Mulai,
Start Time,Waktu Mulai,
Status,Status,
Summary,Ringkasan,
Sunday,Minggu,
System Manager,System Manager,
Tags,Tag,
Template,Contoh,
Text,Teks,
Thursday,Kamis,
Time,Waktu,
Title,Judul,
To,Untuk,
To Date,Untuk Tanggal,
Tuesday,Selasa,
Type,Jenis,
URL,URL,
User,Pengguna,
User Field,Bidang Pengguna,
User Image,KOSONG,
Username,Nama pengguna,
Value,Nilai,
Value Change,Nilai Perubahan,
View Website,Lihat Situs Web,
Web Page,Halaman web,
Wednesday,Rabu,
Yellow,Kuning,
