About,Acerca de,
Acceptance for Terms and/or Policies,Aceptación de Términos y/o Políticas,
Accepted,Aceptado,
Account ID,ID de la cuenta,
Account Name,Nombre de la Cuenta,
Active,Activo,
Address,Dirección,
Admin,Admin,
All,Todos,
Allow Job Posting From Website,Permitir publicación de empleo desde el sitio web,
Allow Self Enrollment,Permitir la autoinscripción,
Allow accessing future dates,Permitir acceder a fechas futuras,
Amount,Importe,
Amount (USD),Importe (USD),
Amount with GST,Importe con GST,
Answer,Respuesta,
Apply GST for India,Aplicar GST para India,
Apply Rounding on Equivalent,Aplicar redondeo al equivalente,
Approved,Aprobado,
Apps,Apps,
Assessment,Evaluación,
Assessment Name,Nombre de la Evaluación,
Assessment Type,Tipo de evaluación,
Assessments,Evaluaciones,
Assignment,Asignación,
Assignment Attachment,Adjunto de la asignación,
Assignment Title,Título de la tarea,
Assignment will appear at the bottom of the lesson.,La tarea aparecerá al final de la lección.,
Attendees,Asistentes,
Attire Preference,Preferencia de vestimenta,
Auto Assign,Autoasignar,
Auto Recording,Grabación Automática,
Badge,Insignia,
Badge Description,Descripción de la Insignia,
Badge Image,Imagen de la Insignia,
Batch,Lote,
Batch Confirmation Template,Plantilla de confirmación de lote,
Batch Course,Curso por lotes,
Batch Description,Descripción de Lotes,
Batch Details,Detalles del lote,
Batch Details Raw,Detalles del lote en bruto,
Batch Evaluator,Evaluador de Lote,
Batch Name,Nombre del lote,
Batch Old,Lote Antiguo,
Batch Settings,Configuración de lotes,
Batch Title,Título del grupo,
Batches,Lotes,
Begin Date,Fecha de comienzo,
Billing Details,Detalles de facturación,
Billing Name,Nombre de Facturación,
Blue,Azul,
Body,Cuerpo,
Branch,Sucursal,
CGPA/4,CGPA/4,
Cancelled,Cancelado,
Career Preference Details,Detalles de preferencia profesional,
Category,Categoría,
Certificate,Certificado,
Certificate Email Template,Plantilla de correo electrónico de certificado,
Certification,Certificación,
Certification Details,Detalles de certificación,
Certification Name,Nombre de la certificación,
Chapter,Capítulo,
Chapter Reference,Referencia del capítulo,
Chapters,Capítulos,
Choices,Opciones,
City,Ciudad,
Client ID,Id del cliente,
Client Secret,Secreto del cliente,
Closed,Cerrado,
Cloud,Nube,
Code,Código,
Cohort,Cohorte,
Cohort Join Request,Solicitud de ingreso de Cohort,
Cohort Mentor,Mentor de Cohorte,
Cohort Staff,Personal de Cohort,
Cohort Subgroup,Subgrupo de Cohort,
Cohort Web Page,Página web de Cohorte,
Collaboration Preference,Preferencia de colaboración,
College Name,Nombre de la academia,
Color,Color,
Comments,Comentarios,
Company,Compañía,
Company Details,Detalles de la Compañía,
Company Email Address,Dirección de correo de la Empresa,
Company Logo,Logo de la Compañía,
Company Name,Nombre de compañía,
Company Type,Tipo de empresa,
Company Website,Página Web de la empresa,
Complete,Completar,
Completed,Completado,
Completion Certificate,Certificado de finalización,
Condition,Condición,
Confirmation Email Sent,Correo de confirmación enviado,
Confirmation Email Template,Plantilla de correo electrónico de confirmación,
Contact Us,Contáctanos,
Content,Contenido,
Contract,Contrato,
Correct,Correcto,
Country,País,
Course,Curso,
Course Chapter,Capítulo del curso,
Course Creator,Creador del curso,
Course Evaluator,Evaluador del curso,
Course Instructor,Instructor del curso,
Course Lesson,Lección del curso,
Course Progress Summary,Resumen del progreso del curso,
Course Settings,Configuración del curso,
Course Title,Título del curso,
Courses,Cursos,
Cover Image,Imagen de portada,
Currency,Divisa / Moneda,
Current Lesson,Lección actual,
Custom HTML,HTML Personalizado,
Custom Script (JavaScript),Script personalizado (JavaScript),
Custom Signup Content,Contenido de registrarse personalizado,
Customisations,Personalizaciones,
Cyan,Cian,
Dashboard,Tablero,
Date,Fecha,
Day,Día,
Default Currency,Divisa / modena predeterminada,
Degree Type,Tipo de Grado,
Description,Descripción,
Disable Self Learning,Desactivar autoaprendizaje,
Disabled,Deshabilitado,
Discussions,Discusiones,
Document,Documento,
Dream Companies,Empresas de ensueño,
Duration,Duración,
Duration (in minutes),Duración (en minutos),
E-Mail,Correo Electrónico,
E-mail,Correo Electrónico,
Education,Educación,
Education Detail,Detalle de la Educación,
Education Details,Detalles de la educación,
Email Sent,Correo Electrónico Enviado,
Email Templates,Plantillas de correo,
Emails,Correos,
Enable,Habilitar,
Enabled,Habilitado,
End Date,Fecha Final,
End Date (or expected),Fecha de finalización (o esperado),
End Time,Hora de finalización,
Enrollments,Inscripciones,
Evaluation Details,Detalles de evaluación,
Evaluation End Date,Fecha de finalización de la evaluación,
Evaluator,Evaluador,
Evaluator Name,Nombre del evaluador,
Evaluator Schedule,Horario del evaluador,
Event,Evento,
Exercise,Ejercicio,
Exercise Latest Submission,Último envío de ejercicios,
Exercise Submission,Entregas de ejercicios,
Exercise Title,Título del ejercicio,
Expiration Date,Fecha de caducidad,
Expiry Date,Fecha de caducidad,
Explanation,Explicación,
Explanation ,Explicación ,
Fail,Falla,
Failed,Falló,
Featured,Destacados,
Feedback,Retroalimentación,
Field To Check,Campo para verificar,
Field of Major/Study,Campo de especialización/estudio,
File Type,Tipo de Archivo,
Frappe Support,Soporte de Frappe,
Freelance,Freelance,
French (e.g. Distinction),"Francés (por ejemplo, Distinción)",
Friday,Viernes,
From,Desde,
From Date,Desde la fecha,
Full Name,Nombre completo,
Full Time,Tiempo completo,
Function,Función,
GSTIN,GSTIN,
General,General,
Github ID,Github ID,
Google Meet Link,Enlace Google Meet,
Grade,Calificación,
Grade Assignment,Calificar asignación,
Grade Type,Tipo de grado,
Grant only once,Conceder sólo una vez,
Gray,Gris,
Green,Verde,
Headline,Titular,
Hide my Private Information from others,Ocultar mi información privada a los demás,
Hints,Consejos,
Host,Anfitrión,
I am currently working here,Actualmente trabajo aquí,
I am looking for a job,Estoy buscando un trabajo,
Icon,Icono,
"If you set an amount here, then the USD equivalent setting will not get applied.","Si establece una cantidad aquí, entonces no se aplicará el ajuste equivalente en USD.",
Image,Imagen,
In Progress,En Progreso,
Inactive,Inactivo,
Include In Preview,Incluir en vista previa,
Incomplete,Incompleto,
Incorrect,Incorrecto,
Index,Índice,
Index Label,Etiqueta índice,
Industry,Industria,
Institution Name,Nombre de Institución,
Instructor,Instructor,
Instructor Content,Contenido del instructor,
Instructor Notes,Notas del instructor,
Instructors,Instructores,
Invite Code,Código de Invitación,
Invite Only,Solo por invitación,
Is Correct,Es correcto,
Issue Date,Fecha de emisión,
Issued On,Emitido el,
Items in Sidebar,Elementos en la barra lateral,
JavaScript,JavaScript,
Job,Empleo,
Job Board Subtitle,Subtítulo de la bolsa de trabajo,
Job Board Title,Título de la bolsa de trabajo,
Job Opportunity,Oportunidad de empleo,
Job Settings,Configuración de trabajo,
Job Title,Título del trabajo,
Jobs,Trabajos,
Join URL,Unirse a URL,
Keyboard Shortcuts,Atajos de teclado,
LMS,LMS,
LMS Assessment,Evaluación LMS,
LMS Assignment,Asignación de LMS,
LMS Assignment Submission,Envío de asignación LMS,
LMS Badge,Insignia LMS,
LMS Badge Assignment,Asignación de insignias de LMS,
LMS Batch,Lote LMS,
LMS Batch Old,Lote LMS antiguo,
LMS Batch Timetable,Horario de lotes LMS,
LMS Category,Categoría LMS,
LMS Certificate,Certificado LMS,
LMS Certificate Evaluation,Evaluación del certificado LMS,
LMS Certificate Request,Solicitud de certificado LMS,
LMS Course,Curso LMS,
LMS Course Interest,Interés del curso LMS,
LMS Course Mentor Mapping,Mapeo de mentores del curso LMS,
LMS Course Progress,Progreso del Curso LMS,
LMS Course Review,Revisión del Curso LMS,
LMS Enrollment,Inscripción LMS,
LMS Exercise,Ejercicio LMS,
LMS Job Application,Aplicación de empleo LMS,
LMS Live Class,Clase en vivo LMS,
LMS Mentor Request,Solicitud de mentor LMS,
LMS Option,Opción LMS,
LMS Payment,Pago LMS,
LMS Question,Pregunta LMS,
LMS Quiz,Cuestionario LMS,
LMS Quiz Question,Pregunta del cuestionario LMS,
LMS Quiz Result,Resultado del cuestionario LMS,
LMS Quiz Submission,Envío de cuestionarios LMS,
LMS Settings,Configuración de LMS,
LMS Sidebar Item,Elemento de la barra lateral de LMS,
LMS Source,Fuente LMS,
LMS Student,Estudiante LMS,
LMS Timetable Legend,Leyenda del horario del LMS,
LMS Timetable Template,Plantilla de horario LMS,
Label,Etiqueta,
Language,Idioma,
Latest Submission,Última presentación,
Lesson,Lección,
Lesson Reference,Referencia de la lección,
Lesson Title,Título de la lección,
Lessons,Lecciones,
"Letter Grade (e.g. A, B-)","Calificación con letras (por ejemplo, A, B-)",
Limit Questions To,Limitar preguntas a,
LinkedIn ID,ID de LinkedIn,
Live,En vivo,
Live Class,Clase en vivo,
LiveCode URL,URL LiveCode,
Local,Local,
Location,Ubicación,
Location Preference,Preferencia de ubicación,
Log out,Cerrar sesión,
Make LMS the default home,Convertir LMS en la página de inicio por defecto,
Manager,Administrador,
Marks,Marcas,
Marks out of,Marcas fuera de,
Max Attempts,Intentos máximos,
Medium,Medio,
Medium ID,ID de Medium,
Member,Miembro,
Member Cohort,Miembro Cohorte,
Member Email,Correo electrónico del miembro,
Member Name,Nombre del Miembro,
Member Subgroup,Subgrupo de miembros,
Member Type,Tipo de miembro,
Membership,Membresía,
Mentor,Mentor,
Mentor Name,Nombre del mentor,
Mentor Request,Solicitud de mentor,
Mentor Request Creation Template,Plantilla de creación de solicitud de mentor,
Mentor Request Status Update Template,Plantilla de actualización del estado de la solicitud de mentor,
Meta Description,Metadescripción,
Meta Image,Meta imagen,
Milestone,Evento importante,
Moderator,Moderador,
Monday,Lunes,
Multiple Correct Answers,Múltiples respuestas correctas,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
New,Nuevo,
No Recording,Sin grabación,
Not Applicable,No aplicable,
Not Graded,Sin calificar,
Note,Nota,
Notifications,Notificaciones,
OAuth Client ID,ID de cliente de OAuth,
Offline,Desconectado,
Online,En línea,
Open,Abrir/Abierto,
Open Ended,Apertura finalizada,
Option,Opción,
Option 1,Opción 1,
Option 2,Opción 2,
Option 3,Opción 3,
Option 4,Opción 4,
Orange,Naranja,
Order ID,ID de pedido,
Organization,Organización,
Output,Salida,
PAN,PAN,
PDF,PDF,
Pages,Páginas,
Paid Batch,Lote pagó,
Paid Course,Cursos Pagos,
Part Time,Tiempo parcial,
Partially Complete,Parcialmente completo,
Pass,Aprobar,
Passed,Aprobado,
Passing Percentage,Porcentaje de aprobación,
Password,Contraseña,
Payment,Pago,
Payment Country,País de pago,
Payment Details,Detalles de pago,
Payment Gateway,Pasarela de Pago,
Payment ID,ID del pago,
Payment Received,Pago recibido,
Payment Settings,Opciones de Pago,
Payment for Document,Pago del documento,
Payment for Document Type,Tipo de documento de pago,
Payments app is not installed,La aplicación de pagos no está instalada,
Pending,Pendiente,
Percentage,Porcentaje,
Percentage (e.g. 70%),"Porcentaje (por ejemplo, 70%)",
Pink,Rosa,
Point of Score (e.g. 70),"Punto de puntuación (por ejemplo, 70)",
Possible Answer 1,Posible respuesta 1,
Possible Answer 2,Posible respuesta 2,
Possible Answer 3,Posible respuesta 3,
Possible Answer 4,Posible respuesta 4,
Preferred Function,Función preferida,
Preferred Functions,Funciones preferidas,
Preferred Industries,Industrias preferidas,
Preferred Industry,Industria preferida,
Preferred Location,Ubicación preferida,
