Active,সক্রিয়,
Address,ঠিকানা,
Admin,অ্যাডমিন,
All,সব,
Amount,পরিমাণ,
Approved,অনুমোদিত,
Assignment,কাজ,
Cancelled,বাতিল,
Category,শ্রেণী,
City,শহর,
Client ID,ক্লায়েন্ট আইডি,
Client Secret,ক্লায়েন্ট সিক্রেট,
Closed,বন্ধ,
Code,কোড,
Color,রঙ,
Comments,মন্তব্য,
Company,কোম্পানি,
Company Name,কোমপানির নাম,
Complete,সম্পূর্ণ,
Completed,সম্পন্ন,
Condition,শর্ত,
Confirmation Email Template,নিশ্চিতকরণ ইমেল টেম্পলেট,
Content,বিষয়বস্তু,
Country,দেশ,
Currency,মুদ্রা,
Custom HTML,কাস্টম এইচটিএমএল,
Dashboard,ড্যাশবোর্ড,
Date,তারিখ,
Day,দিন,
Description,বিবরণ,
Disable Signup,সাইনআপ অক্ষম,
Disabled,অক্ষম,
Document,দলিল,
Duration,স্থিতিকাল,
Email Sent,ইমেইল পাঠানো,
Enable,সক্ষম করা,
Enabled,সক্রিয়,
End Date,শেষ তারিখ,
Event,ঘটনা,
Fail,ব্যর্থ,
Failed,ব্যর্থ,
Featured,বৈশিষ্ট্যযুক্ত,
Feedback,প্রতিক্রিয়া,
Field To Check,ফিল্ড চেক,
File Type,ফাইলের ধরন,
Friday,শুক্রবার,
From,থেকে,
From Date,তারিখ থেকে,
Full Name,পুরো নাম,
Function,ফাংশন,
Host,নিমন্ত্রণকর্তা,
Icon,আইকন,
Image,ভাবমূর্তি,
In Progress,চলমান,
Inactive,নিষ্ক্রিয়,
Index,সূচক,
JavaScript,জাভাস্ক্রিপ্ট,
Job,কাজ,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Label,লেবেল,
Language,ভাষা,
Location,অবস্থান,
Medium,মাঝারি,
Meta Description,মেটা বর্ণনা,
Meta Image,মেটা ইমেজ,
Milestone,মাইলস্টোন,
Monday,সোমবার,
New,নতুন,
Note,বিঃদ্রঃ,
Notifications,বিজ্ঞপ্তিগুলি,
OAuth Client ID,OAuth ক্লায়েন্ট আইডি,
Offline,অফলাইন,
Online,অনলাইন,
Open,খোলা,
Option 1,বিকল্প 1,
Option 2,অপশন 2,
Option 3,অপশন 3,
Output,আউটপুট,
PDF,পিডিএফ,
Password,পাসওয়ার্ড,
Pending,বিচারাধীন,
Percentage,শতকরা হার,
Private,ব্যক্তিগত,
Progress,উন্নতি,
Public,প্রকাশ্য,
Published,প্রকাশিত,
Published On,প্রকাশিত,
Rating,নির্ধারণ,
Reference DocName,রেফারেন্স ডকনাম,
Reference DocType,রেফারেন্স ডকটাইপ,
Reference Document Type,রেফারেন্স ডকুমেন্ট টাইপ,
Rejected,প্রত্যাখ্যাত,
Reload,পুনরায় লোড করুন,
Remote,দূরবর্তী,
Restricted,বিধিনিষেধযুক্ত,
Review,পর্যালোচনা,
Role,ভূমিকা,
Route,রুট,
Saturday,শনিবার,
Session Defaults,সেশন ডিফল্ট,
Sidebar Items,সাইডবার চলছে,
Source,উত্স,
Start Date,শুরুর তারিখ,
Start Time,সময় শুরু,
Status,অবস্থা,
Summary,সারাংশ,
Sunday,রবিবার,
System Manager,সিস্টেম ম্যানেজার,
Tags,ট্যাগ্স,
Template,টেমপ্লেট,
Text,পাঠ,
Thursday,বৃহস্পতিবার,
Time,সময়,
Title,খেতাব,
To,থেকে,
To Date,এখন পর্যন্ত,
Tuesday,মঙ্গলবার,
Type,শ্রেণী,
URL,URL টি,
User,ব্যবহারকারী,
User Field,ব্যবহারকারী ক্ষেত্র,
User Image,ব্যবহারকারী চিত্র,
Username,ইউজারনেম,
Value,মান,
Value Change,মান পরিবর্তন,
View Website,ওয়েবসাইট দেখুন,
Web Page,ওয়েব পেজ,
Wednesday,বুধবার,
