Active,ການເຄື່ອນໄຫວ,
Address,ທີ່ຢູ່,
Admin,Admin,
All,ທັງ ໝົດ,
Amount,ຈໍານວນ,
Approved,ການອະນຸມັດ,
Assignment,ການມອບຫມາຍ,
Cancelled,ຫຼຸດລົງ,
Category,ປະເພດ,
City,ເມືອງ,
Client ID,ລະຫັດລູກຄ້າ,
Client Secret,Secret Client,
Closed,ປິດ,
Code,ລະຫັດ,
Color,ສີ,
Comments,ຄວາມຄິດເຫັນ,
Company,ບໍລິສັດ,
Company Name,ຊື່ບໍລິສັດ,
Complete,ສົມບູນ,
Completed,ສໍາເລັດ,
Condition,ສະພາບ,
Confirmation Email Template,ແມ່ແບບອີເມວການຢັ້ງຢືນ,
Content,ເນື້ອໃນ,
Country,ປະເທດ,
Currency,ສະກຸນເງິນ,
Custom HTML,HTML Custom,
Dashboard,ແຜງຄວບຄຸມ,
Date,ວັນທີ່ສະຫມັກ,
Day,ວັນ,
Description,ລາຍລະອຽດ,
Disable Signup,ປິດການໃຊ້ງານສະຫມັກ,
Disabled,ຄົນພິການ,
Document,ເອກະສານ,
Duration,ໄລຍະເວລາ,
Email Sent,ສົ່ງອີເມວ,
Enable,ເປີດນໍາໃຊ້,
Enabled,ເປີດການໃຊ້ງານ,
End Date,ວັນທີ່ສິ້ນສຸດ,
Event,ກໍລະນີ,
Fail,ລົ້ມເຫລວ,
Failed,ສົບຜົນສໍາເລັດ,
Featured,ທີ່ໂດດເດັ່ນ,
Feedback,ຜົນຕອບຮັບ,
Field To Check,ພາກສະຫນາມເພື່ອກວດກາ,
File Type,ປະເພດໄຟລ໌,
Friday,ສຸກ,
From,ຈາກ,
From Date,ຈາກວັນທີ່,
Full Name,ຊື່ເຕັມ,
Function,ໜ້າ ທີ່,
Host,ການເປັນເຈົ້າພາບ,
Icon,ໄອຄອນ,
Image,ຮູບພາບ,
In Progress,ໃນຄວາມຄືບຫນ້າ,
Inactive,Inactive,
Index,ດັດຊະນີ,
JavaScript,JavaScript,
Job,ວຽກ,
Keyboard Shortcuts,ຄີບອດ,
Label,Label,
Language,ພາສາ,
Location,ສະຖານທີ່,
Medium,ຂະຫນາດກາງ,
Meta Description,ຄໍາອະທິບາຍ Meta,
Meta Image,ຮູບພາບ Meta,
Milestone,Milestone,
Monday,ຈັນ,
New,ໃຫມ່,
Note,ຫມາຍເຫດ,
Notifications,ແຈ້ງການ,
OAuth Client ID,ID ຂອງລູກຄ້າ OAuth,
Offline,ອອຟໄລ,
Online,ອອນໄລນ໌,
Open,ເປີດ,
Option 1,ທາງເລືອກ 1,
Option 2,ທາງເລືອກ 2,
Option 3,ທາງເລືອກ 3,
Output,ຜົນຜະລິດ,
PDF,PDF,
Password,ລະຫັດຜ່ານ,
Pending,ທີ່ຍັງຄ້າງ,
Percentage,ອັດຕາສ່ວນ,
Private,ສ່ວນຕົວ,
Progress,ຄວາມຄືບຫນ້າ,
Public,ສາທາລະນະ,
Published,ຈັດພີມມາ,
Published On,ຈັດພີມມາກ່ຽວກັບ,
Rating,ການຈັດອັນດັບ,
Reference DocName,Reference DocName,
Reference DocType,ເອກະສານອ້າງອີງ DocType,
Reference Document Type,ປະເພດເອກະສານອ້າງອີງ,
Rejected,ປະຕິເສດ,
Reload,ໂຫລດ,
Remote,ຫ່າງໄກສອກຫຼີກ,
Restricted,ຈຳ ກັດ,
Review,ການທົບທວນຄືນ,
Role,ພາລະບົດບາດ,
Route,ເສັ້ນທາງ,
Saturday,ວັນເສົາ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Sidebar Items,ລາຍການ sidebar,
Source,ແຫຼ່ງຂໍ້ມູນ,
Start Date,ວັນທີ່ເລີ່ມ,
Start Time,ທີ່ໃຊ້ເວລາເລີ່ມຕົ້ນ,
Status,ສະຖານະພາບ,
Summary,Summary,
Sunday,ວັນອາທິດ,
System Manager,ຈັດການລະບົບ,
Tags,Tags,
Template,ແມ່ແບບ,
Text,ຂໍ້ຄວາມ,
Thursday,ວັນພະຫັດ,
Time,ເວລາ,
Title,Title,
To,To,
To Date,ຈົນເຖິງວັນທີ່,
Tuesday,ວັນອັງຄານ,
Type,ປະເພດ,
URL,URL,
User,ຜູ້ໃຊ້,
User Field,ສະ ໜາມ ຜູ້ໃຊ້,
User Image,Image User,
Username,ຊື່ຜູ້ໃຊ້,
Value,ຄຸນຄ່າ,
Value Change,ການປ່ຽນແປງມູນຄ່າ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Web Page,ຫນ້າເວັບ,
Wednesday,ວັນພຸດ,
