Active,സജീവ,
Address,വിലാസം,
Admin,അഡ്മിൻ,
All,എല്ലാം,
Amount,തുക,
Approved,അംഗീകരിച്ചു,
Assignment,ചുമതല,
Cancelled,റദ്ദാക്കി,
Category,വർഗ്ഗം,
City,സിറ്റി,
Client ID,ക്ലയന്റ് ഐഡി,
Client Secret,ക്ലയന്റ് രഹസ്യം,
Closed,അടച്ചു,
Code,കോഡ്,
Color,കളർ,
Comments,അഭിപ്രായങ്ങൾ,
Company,കമ്പനി,
Company Name,കമ്പനി പേര്,
Complete,പൂർത്തിയാക്കുക,
Completed,പൂർത്തിയാക്കി,
Condition,കണ്ടീഷൻ,
Confirmation Email Template,സ്ഥിരീകരണ ഇമെയിൽ ടെംപ്ലേറ്റ്,
Content,ഉള്ളടക്കം,
Country,രാജ്യം,
Currency,കറൻസി,
Custom HTML,കസ്റ്റം എച്ച്ടിഎംഎൽ,
Dashboard,ഡാഷ്ബോർഡ്,
Date,തീയതി,
Day,ദിവസം,
Description,വിവരണം,
Disable Signup,സൈൻഅപ് അപ്രാപ്തമാക്കുക,
Disabled,രഹിതമായ,
Document,ഡോക്യുമെന്റ്,
Duration,ദൈർഘ്യം,
Email Sent,ഇമെയിൽ അയച്ചവ,
Enable,പ്രവർത്തനക്ഷമമാക്കുക,
Enabled,പ്രാപ്തമാക്കി,
End Date,അവസാന ദിവസം,
Event,ഇവന്റ്,
Fail,പരാജയം,
Failed,പരാജയപ്പെട്ടു,
Featured,തിരഞ്ഞെടുത്തത്,
Feedback,പ്രതികരണം,
Field To Check,പരിശോധിക്കാനുള്ള ഫീൽഡ്,
File Type,ഫയൽ തരം,
Friday,വെള്ളിയാഴ്ച,
From,നിന്നും,
From Date,ഈ തീയതി മുതൽ,
Full Name,പൂർണ്ണമായ പേര്,
Function,പ്രവർത്തനം,
Host,ഹോസ്റ്റ്,
Icon,ഐക്കൺ,
Image,ചിത്രം,
In Progress,പുരോഗതിയിൽ,
Inactive,നിഷ്ക്രിയം,
Index,സൂചിക,
JavaScript,Javascript,
Job,ജോലി,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Label,ലേബൽ,
Language,ഭാഷ,
Location,സ്ഥാനം,
Medium,മീഡിയം,
Meta Description,മെറ്റാ വിവരണം,
Meta Image,മെറ്റാ ഇമേജ്,
Milestone,നാഴികക്കല്ല്,
Monday,തിങ്കളാഴ്ച,
New,പുതിയത്,
Note,കുറിപ്പ്,
Notifications,അറിയിപ്പുകൾ,
OAuth Client ID,OAuth ക്ലയൻറ് ID,
Offline,ഓഫ്ലൈൻ,
Online,ഓൺലൈൻ,
Open,തുറക്കുക,
Option 1,ഓപ്ഷൻ 1,
Option 2,ഓപ്ഷൻ 2,
Option 3,ഓപ്ഷൻ 3,
Output,ഔട്ട്പുട്ട്,
PDF,പീഡിയെഫ്,
Password,പാസ്വേഡ്,
Pending,തീർച്ചപ്പെടുത്തിയിട്ടില്ല,
Percentage,ശതമാനം,
Private,സ്വകാര്യ,
Progress,പുരോഗതി,
Public,പബ്ലിക്,
Published,പ്രസിദ്ധീകരിച്ചത്,
Published On,ന് പ്രസിദ്ധീകരിച്ചു,
Rating,റേറ്റിംഗ്,
Reference DocName,റെഫറൻസ് DocName,
Reference DocType,റഫറൻസ് ഡോക്‌ടൈപ്പ്,
Reference Document Type,റഫറൻസ് ഡോക്യുമെന്റ് തരം,
Rejected,നിരസിച്ചു,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Remote,റിമോട്ട്,
Restricted,നിയന്ത്രിച്ചിരിക്കുന്നു,
Review,അവലോകനം,
Role,റോൾ,
Route,റൂട്ട്,
Saturday,ശനിയാഴ്ച,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Sidebar Items,സൈഡ്ബാർ ഇനങ്ങൾ,
Source,ഉറവിടം,
Start Date,തുടങ്ങുന്ന ദിവസം,
Start Time,ആരംഭ സമയം,
Status,അവസ്ഥ,
Summary,സംഗ്രഹം,
Sunday,ഞായറാഴ്ച,
System Manager,സിസ്റ്റം മാനേജർ,
Tags,ടാഗുകൾ,
Template,ഫലകം,
Text,ഉള്ളടക്കം,
Thursday,വ്യാഴാഴ്ച,
Time,സമയം,
Title,ശീർഷകം,
To,ലേക്ക്,
To Date,തീയതി,
Tuesday,ചൊവ്വാഴ്ച,
Type,തരം,
URL,യുആർഎൽ,
User,ഉപയോക്താവ്,
User Field,ഉപയോക്തൃ ഫീൽഡ്,
User Image,ഉപയോക്തൃ ചിത്ര,
Username,ഉപയോക്തൃനാമം,
Value,മൂല്യം,
Value Change,മൂല്യം മാറ്റുക,
View Website,വെബ്സൈറ്റ് കാണുക,
Web Page,വെബ് പേജ്,
Wednesday,ബുധനാഴ്ച,
