Active,Aktiivne,
Address,Aadress,
Admin,Administraator,
All,Kõik,
Amount,Summa,
Approved,Kinnitatud,
Assignment,omistamine,
Cancelled,Tühistatud,
Category,Kategooria,
City,City,
Client ID,kliendi ID,
Client Secret,kliendi saladus,
Closed,Suletud,
Code,Kood,
Color,Värvus,
Comments,Kommentaarid,
Company,Ettevõte,
Company Name,firma nimi,
Complete,Täielik,
Completed,Valminud,
Condition,Seisund,
Confirmation Email Template,Kinnitusmeili mall,
Content,Sisu,
Country,Riik,
Currency,Valuuta,
Custom HTML,Custom HTML,
Dashboard,Armatuurlaud,
Date,Kuupäev,
Day,päev,
Description,Kirjeldus,
Disable Signup,Keela liitumine,
Disabled,Invaliidistunud,
Document,Dokument,
Duration,Kestus,
Email Sent,E-mail saadetud,
Enable,võimaldama,
Enabled,Lubatud,
End Date,End Date,
Event,Sündmus,
Fail,Ebaõnnestus,
Failed,Ebaõnnestunud,
Featured,Esiletõstetud,
Feedback,Tagasiside,
Field To Check,Kontrollitav väli,
File Type,Faili tüüp,
Friday,Reede,
From,pärit,
From Date,Siit kuupäev,
Full Name,Täisnimi,
Function,Funktsioon,
Host,võõrustaja,
Icon,Ikoon,
Image,Pilt,
In Progress,In Progress,
Inactive,Mitteaktiivne,
Index,Indeks,
JavaScript,JavaScript,
Job,Töö,
Keyboard Shortcuts,Klaviatuuri otseteed,
Label,Etikett,
Language,Keel,
Location,Asukoht,
Medium,Medium,
Meta Description,Meta kirjeldus,
Meta Image,Meta pilt,
Milestone,Verstapost,
Monday,Esmaspäev,
New,Uus,
Note,Märge,
Notifications,Teated,
OAuth Client ID,OAuthi kliendi ID,
Offline,offline,
Online,Hetkel,
Open,Avatud,
Option 1,Variant 1,
Option 2,Variant 2,
Option 3,Variant 3,
Output,väljund,
PDF,pDF,
Password,Salasõna,
Pending,Pooleliolev,
Percentage,Protsent,
Private,Private,
Progress,Edu,
Public,Avalik,
Published,Avaldatud,
Published On,Avaldatud,
Rating,Hinnang,
Reference DocName,Viide DocName,
Reference DocType,Viide DocType,
Reference Document Type,Viide Dokumendi liik,
Rejected,Tagasi lükatud,
Reload,Reload,
Remote,kauge,
Restricted,Piiratud,
Review,Ülevaade,
Role,Osa,
Route,marsruut,
Saturday,Laupäev,
Session Defaults,Seansi vaikeväärtused,
Sidebar Items,Külgriba üksused,
Source,Allikas,
Start Date,Alguskuupäev,
Start Time,Algusaeg,
Status,Staatus,
Summary,Kokkuvõte,
Sunday,Pühapäev,
System Manager,Süsteemihaldur,
Tags,Sildid,
Template,Šabloon,
Text,Tekst,
Thursday,Neljapäev,
Time,Aeg,
Title,Pealkiri,
To,Et,
To Date,Kuupäev,
Tuesday,Teisipäev,
Type,Tüüp,
URL,URL,
User,Kasutaja,
User Field,Kasutaja väli,
User Image,Kasutaja Image,
Username,Kasutajanimi,
Value,Väärtus,
Value Change,Väärtus Muutus,
View Website,Vaata Koduleht,
Web Page,Veebi lehekülg,
Wednesday,Kolmapäev,
